;espn_id;home_team;away_team;home_abbrev;away_abbrev;score_home;score_away;date;cup;article_title;article
0;655278;Nederland;Gibraltar;NED;GIB;3;0;2023-03-27Z;2023 UEFA EK Kwalificatie, Groepsfase;Oranje revancheert zich in De Kuip, maar 'walk-over' op Gibraltar blijft uit;"Het Nederlands elftal heeft met 3-0 gewonnen in het EK-kwalificatieduel tegen Gibraltar. Bondscoach Ronald Koeman voerde vier wijzigingen door in zijn elftal ten opzichte van het verloren duel tegen Frankrijk. Mats Wieffer, Wout Weghorst, Matthijs de Ligt en Denzel Dumfries kregen een basisplaats. Voorafgaand aan de aftrap werd een indrukwekkende minuut stilte gehouden voor de overleden perschef Thijs Slegers.

 Gibraltese muur
Het publiek in De Kuip werd in de eerste helft niet verwend. Het moest ruim twintig minuten wachten op het eerste doelpunt. Deze ontstond uit een voorzet van verdediger Dumfries, die terugkeerde in het basiselftal na het uitzitten van een schorsing. Via Memphis Depay, die hoog boven iedereen uittorende, belandde de bal door een kopbal in het doel. Op slag van rust kreeg spits Weghorst twee kansen om Oranje op 2-0 te brengen. Hij zag zijn beide kansen niet tot een doelpunt leiden. De Gibraltese muur wist telkens de Nederlandse pogingen af te slaan. Daardoor werd de kleedkamer opgezocht met een 1-0 tussenstand.

 Directe rode kaart 
Nederland begon sterker aan de tweede helft, want na drie minuten wist Nathan Aké Oranje naar 2-0 te koppen. Direct na het doelpunt ontving de Gibraltarees Liam Walker een directe rode kaart. Met gestrekt been blesseerde hij de debuterende Mats Wieffer. De Feyenoord-middenvelder kon de wedstrijd hervatten. Ondanks de manmeersituatie wist de ploeg van Ronald Koeman daar niet heel erg van te profiteren. Er werd nog één keer gescoord. Opnieuw was het verdediger Aké. Hij bezorgde met de 3-0 voor de eindstand. In de absolute slotfase van de wedstrijd maakte de Nederlander Niels Hartman zijn debuut voor het nationale elftal van Gibraltar. Ondanks de overwinning, bleef een verwachte 'walk-over' op voetbaldwerg Gibraltar uit.

###

"
2;655262;Frankrijk;Nederland;FRA;NED;4;0;2023-03-24Z;2023 UEFA EK Kwalificatie, Groepsfase;Frankrijk overklast Nederlands elftal met 4-0;"Het Nederlands elftal beleefde een dramatische avond in het Stade de France. Na twintig minuten spelen stond het tegen Frankrijk al op een 3-0 achterstand. Oranje verloor de wedstrijd uiteindelijk met 4-0. Het is meer dan honderd jaar geleden dat Nederland zo slecht aan een interland begon. In 1919 verloor Oranje van Zweden met 4-1. Ook in die wedstrijd kwam het Nederlands elftal na twintig minuten spelen op een 3-0 achterstand.

 Franse klasse
Bondscoach Ronald Koeman zag zijn team al na twee minuten op achterstand komen. Nederland was zeer onzorgvuldig in de opbouw, waardoor Frankrijk in balbezit kwam en wist om te schakelen. Superster Kylian Mbappé speelde de bal op de volledig vrijstaande Antoine Griezmann. De Fransman met het knalroze haar wist zonder problemen de bal het doel in te schieten.

 Razendsnelle achterstand
Even later nam Griezmann zelf de rol als aangever op zich. Uit een vrije trap gooide hij de bal voor het doel. In de situatie die ontstond, gaf keeper Jasper Cillessen niet thuis. Upamecano kon daardoor de bal het doel intikken. Het Nederlands elftal keek binnen tien minuten tegen een 2-0 achterstand aan.

 Pijnlijk debuut
Het werd alleen maar pijnlijker voor Oranje in de twintigste minuut. Na een vlijmscherpe steekpass van Frankrijk, die kinderlijk eenvoudig door de Nederlandse verdediging sneed, wist Mbappé 3-0 op het scorebord gezet. Voor Feyenoorder Lutsharel Geertruida, die in de basis mocht starten, werd het een debuut om snel te vergeten. De wissels van Koeman in de tweede helft maakten geen verschil. Frankrijk kwam nog wel een keer tot scoren. Kylian Mbappé maakte in de slotfase van de wedstrijd zijn tweede goal van de wedstrijd. Daarmee schoot hij de eindstand van 4-0 op het scorebord. Nederland kreeg in de blessuretijd nog een penalty, maar Memphis Depay wist geen eretreffer te maken.

###

"
3;666750;AZ;Lazio;AZ;LAZ;2;1;2023-03-16Z;2022-23 UEFA Europa Conference League, 8e finales;Sterk AZ schakelt Lazio uit in Conference League;"AZ heeft in een sterke wedstrijd Lazio uitgeschakeld. In Alkmaar werd het 2-1. Door de 1-2 winst in Italië heeft AZ de strijd gewonnen en gaat het naar de kwartfinale van de Conference League.

 Knokken voor de volgende ronde
Gemakkelijk ging het niet, want er moest hard gestreden en gevochten worden om de volgende ronde te bereiken. De eerste kans van de wedstrijd was voor AZ via Pavlidis. De spits positioneerde zich bij de eerste paal, maar kon de bal niet koppen. Drie minuten later, in de twintigste minuut, kregen de Alkmaarders een grote tik te verwerken. AZ kwam op achterstand, nadat Felipe Anderson Lazio op voorsprong bracht. Hiermee bracht hij zijn ploeg op gelijke hoogte over twee gespeelde wedstrijden: 2-2.

 De tegenaanval
De ploeg van Pascal Jansen liet zich niet kennen en zocht direct de tegenaanval. Die inzet werd beloond, want Jesper Karlsson maakte even later een prachtig doelpunt. Vanaf de vleugel trok hij naar binnen en gaf zijn schot een zwabber mee, waardoor de bal achter de keeper belandde en doel trof. Door zijn goal werd de schade snel hersteld. De nummer drie van de Eredivisie wist met de voorsprong van 3-2, over twee wedstrijden, de rust te halen.

 Op rozen 
Na de rust kwamen AZ en Lazio beide tot gevaar. Een afstandsschot van de Italianen werd gekeerd, waar Tijjani Reijnders zijn schot op de paal zag belanden. Na een kwartier spelen in de tweede helft hielp AZ zichzelf in het zadel. Pavlidis haalde op de rand van de zestien de trekker over en zag zijn poging in het doel belanden. Daarmee kreeg het team meer lucht en stond zijn ploeg in deze wedstrijd 2-1 voor. Dezelfde stand zoals vorige week in Italië. De Alkmaarders gingen niet achterover leunen, want even later werd opnieuw de paal getroffen. De score veranderde niet meer, waardoor AZ met 4-2 over twee wedstrijden Lazio uitschakelt en doorgaat in de Conference League.

 Vrijdag is de loting voor de kwartfinales van de Conference League en weet AZ wie de volgende tegenstander is. De loting is om 14:00 uur live te zien op ESPN 1. 

###

"
4;666739;Real Betis;Manchester United;BET;MAN;0;1;2023-03-16Z;2022-23 UEFA Europa League, 8e finales;Manchester United kent geen problemen en gaan voor Europees succes;"Manchester United, de club van Erik ten Hag, heeft zonder moeite de volgende ronde van de Europa League bereikt. In Spanje won United met 0-1 van Real Betis. De Engelsen trokken al met een goede uitgangspositie naar Betis, want vorige week won het op Old Trafford met 4-1. The Red Devils keren met een overwinning in het vliegtuig op weg naar huis en gaan zich opmaken voor de volgende ronde.

 De Nederlanders Wout Weghorst en Tyrell Malacia stonden in de basis. In de eerste helft waren er weinig opgelegde kansen te zien. Weghorst kreeg de mogelijkheid zijn ploeg op 0-1 te schieten. Dat gebeurde niet, waardoor er geen goals vielen in de eerste helft. Er werd met 0-0 gerust. Het betekende dat Real Betis voor een grote uitdaging stond in de tweede helft, maar de grote stunt die nodig was bleef voor de nummer vijf uit Spanje.

 Zeker nadat Marcus Rashford in de 56ste minuut een prachtig afstandsschot in huis, werd de missie onmogelijk gemaakt. Zijn schot leidde tot de 0-1 voorsprong. De knal van Rashford was buiten bereik van de keeper geplaatst. Beide ploegen kwamen niet meer tot scoren in deze wedstrijd. Hierdoor werd de einduitslag over twee wedstrijden 5-1 in het voordeel van United.

###

"
5;666738;Feyenoord;Shakhtar Donetsk;FEY;SHK;7;1;2023-03-16Z;2022-23 UEFA Europa League, 8e finales;Feyenoord walst over Shakhtar heen en plaatst zich op ongekende wijze voor kwartfinales;"Daar waar Feyenoord vorige week ternauwernood een nederlaag voorkwam, rekende de formatie van Arne Slot ditmaal snel af met Shakhtar Donetsk. Al voor rust hadden de Rotterdammers een riante voorsprong die nooit meer in gevaar kwam, sterker nog: Feyenoord vernederde de Oekraïense club met 7-1. Zo is Feyenoord halverwege maart nog in de race voor de Europa League, de TOTO KNVB Beker en koploper in de Eredivisie. Een unieke prestatie.

 Droomstart Feyenoord
Al na acht minuten schoot de Mexicaanse spits Santiago Giménez Feyenoord fraai op een 1-0 voorsprong. Een prachtige schijnbeweging bracht twee verdedigers in verwarring en zijn schot met de linkervoet belandde in de rechter onderhoek.

 Santiago Giménez is trots op de teamprestatie van de Rotterdammers tegen Shakhtar Donetsk.

 Orkun Kökçü schoot een kwartier later van buiten de zestienmeter hard raak: 2-0. Vlak daarvoor werd de aanvoerder nog hard onderuit geveegd door Artem Bondarenko. Hij ontving daarvoor een gele kaart. Nog voor rust kwam Feyenoord door een benutte strafschop van diezelfde Kökçü op een 3-0 voorsprong: een voorzet van Marcos López kwam op de uitgestoken arm van Yukhym Konoplia waadoor scheidsrechter Jesus Gil niet anders kon dan naar de stip te wijzen. Kökçü stuurde doelman Anatolii Trubin de verkeerde hoek in en maakte vanaf de stip zijn tweede van de avond.

 Feyenoord vernedert Shakhtar Donetsk
Na geklungel op het middenveld bij de bezoekers was het voor Oussama Idrissi een koud kunstje om vlak na rust de 4-0 tussenstand op het scorebord te schieten. In de eerste helft kreeg Shakhtar Donetsk nog aardige kansen - onder andere een schot op de lat - maar na rust was het geloof bij de bezoekers weg.

 Diezelfde Idrissi schoot na klokslag een uur spelen op weergaloze zijn tweede van de avond en de vijfde treffer van Feyenoord binnen: 5-0. Zo bereikt Slot voor het tweede jaar op rij met Feyenoord een Europese kwartfinale. Ditmaal had hij zelfs de ongekende luxe om spelers richting De Klassieker voortijdig rust te gunnen.

 Alireza Jahanbakhsh en Danilo maakten de zevenklapper compleet. Zo beleven de Rotterdammers een ongekende Europese avond in De Kuip. De club zet in de achtste finales van het tweede Europese toernooi een uitslag neer die wereldwijd opgepakt zal worden. Kevin Kelsy deed namens Shakhtar nog iets terug waardoor Feyenoord met 7-1 won en morgen de tegenstander hoort voor de kwartfinales.

 ​De loting voor de kwartfinales van de UEFA Europa League zie je vrijdagmiddag 13:00 uur LIVE op ESPN 1.

###

"
6;666728;Shakhtar Donetsk;Feyenoord;SHK;FEY;1;1;2023-03-09Z;2022-23 UEFA Europa League, 8e finales;Late gelijkmaker biedt Feyenoord perspectief in return tegen Shakhtar;"Een oppermachtig Feyenoord heeft in de achtste finales van de Europa League genoegen moeten nemen met een 1-1-gelijkspel tegen Shakhtar Donetsk. De koploper van de Eredivisie was de hele wedstrijd de betere ploeg, maar wist het overwicht niet om te zetten in de benodigde doelpunten.

 De tegenstander uit Oekraïne kreeg tegen het einde van de wedstrijd één kans en die was meteen raak. Jaroslav Rakytsky wipte de bal uit een corner langs de volledig verraste keeper Timon Wellenreuther.

 In de slotfase maakte Feyenoord jacht op in ieder geval de gelijkmaker. Alireza Jahanbakhsh en Lutsharel Geertruida schoten de bal in het zijnet, maar invaller Ezequiel Bullaude kopte de bal vlak voor tijd binnen. Bijna won de ploeg van trainer Arne Slot nog, maar het doelpunt van Geertruida in blessuretijd werd afgekeurd wegens buitenspel.

###

"
7;666741;Lazio;AZ;LAZ;AZ;1;2;2023-03-07Z;2022-23 UEFA Europa Conference League, 8e finales;AZ overleeft Romeinse druk en wint knap bij Lazio;"AZ heeft een knappe 1-2 overwinning geboekt op bezoek bij Lazio. In Rome stonden de Alkmaarders lange tijd onder druk, maar sprong het in tegenstelling tot de Romeinen erg goed om met de kansen.

 Snelle achterstand
Ondanks dat Lazio met vijf wijzigingen begon aan de wedstrijd waren de Italianen vanaf het begin de bovenliggende partij. De eerste grote kans was dan ook gelijk raak, nadat Lazio de druk flink had opgevoerd in het eerste kwartier. Een voorzet van Mattia Zaccagni werd in de 18de minuut goed binnengeschoten door Pedro, die weer eens vanaf het begin mocht spelen omdat spits Ciro Immobile ontbrak vanwege een blessure.

 Ondanks de achterstand ging AZ beter voetballen. Het kwam wat vaker langdurig in balbezit op de helft van Lazio en kreeg rond het halfuur via Sven Mijnans de kans op de gelijkmaker. Het schot van de 22-jarige middenvelder belandde alleen via Lazio-middenvelder Danilo Cataldi op de paal.

 Even later werd het betere spel van de Alkmaarders wel beloond. Na goed doorzetten van Tijjani Reijnders kon Jesper Karlsson spits Vangelis Pavlidis bedienen. De Griek kwam uitstekend voor zijn man en tikte leep de 1-1 binnen. Zo gingen beide ploegen rusten met een 1-1 gelijkspel.

 AZ draait het helemaal om
De late gelijkmaker van AZ was een klap voor de thuisploeg. Ook in de tweede helft haalde Lazio het niveau van het eerste kwartier niet, wat leidde tot de voorsprong voor de nummer 3 van de Eredivisie. Opnieuw gaf Karlsson de assist en nu was het Milos Kerkez die de bal onder het uitgestoken been van Luis Maximiano doorschoof.

 Zo stond AZ brutaal op voorsprong in Rome, terwijl het niet tot enorm veel kansen kwam. Zeker na de 1-2 wist het weinig meer te creëren en de druk van Lazio nam toe. De Alkmaarders wisten een paar stressvolle momenten door te komen door de onzorgvuldigheid van de ploeg van Maurizio Sarri.

 Zo gaat AZ met een uitstekende uitgangspositie richting de return in eigen huis van volgende week donderdag.

###

"
8;647781;Ajax Vrouwen;Feyenoord Rotterdam;AJA;FEY;1;1;2023-03-04Z;2022-23 Vrouwen Eredivisie, Regulier seizoen;Historische Klassieker bij de vrouwen eindigt in gelijkspel;"In de Azerion Vrouwen Eredivisie hebben Ajax en Feyenoord 1-1 gelijkgespeeld. De goal van Ajax kwam op naam van Ashleigh Weerden, bij Feyenoord werd het doelpunt gemaakt door Maxime Bennink. De wedstrijd werd gespeeld in de Johan Cruijff Arena en dat zorgde voor sfeervolle beelden en voor een historisch moment in het vrouwenvoetbal in Nederland.

 De wedstrijd was voor het eerste fluitsignaal eigenlijk al een groot succes. De wedstrijd werd dus in de Johan Cruijff Arena gespeeld en dat zorgde voor een gigantisch aantal toeschouwers. In totaal waren er 29.927 toeschouwers op het duel afgekomen en dat is een record in de competitie voor vrouwen. De wedstrijd is daarom absoluut historisch te noemen. Het aantal toeschouwers was een ruime verbetering van het record dat eind vorig seizoen werd gevestigd. Toen speelden de vrouwen van Feyenoord en Ajax voor 14.618 toeschouwers in De Kuip.

 In de eerste helft kwamen er de meeste krachten vrij bij de Feyenoord Vrouwen. Zij begonnen beter aan de wedstrijd dan thuisploeg Ajax. Echt grote kansen creëerde het niet en het kon de thuisploeg niet echt pijn doen. Ajax Vrouwen kwam geleidelijk beter in de wedstrijd. In de eindfase van de eerste helft kreeg het twee grote kansen. Chasity Grant had de grootste kans toen ze een-op-een met Feyenoord-keepster Jacintha Weimar kwam. Ze had het vizier echter niet op scherp en schoot naast.

 De tweede helft begon voor Feyenoord geweldig. Al in de 48ste minuut kwam de ploeg, in het hol van de leeuw, op 0-1. Maxime Bennink kreeg de bal uit een hoekschop tegen haar achterwerk aan. Zonder dat ze er weet in had, verdween de bal in het doel en kwamen de Rotterdammers op voorsprong.

 Het doelpunt leek de Ajax Vrouwen wakker te schudden. Nog geen twee minuten later stond het namelijk alweer 1-1. Ashleigh Weerden had wat ruimte aan de linkerkant van het veld en schoot de bal fraai over Weimar heen.

 Ajax probeerde de eigen toeschouwers nog te verwennen met drie punten, maar kwam moeizaam tot uitgespeelde kansen. Sherida Spitse schoot een hoekschop in één keer op de lat, maar echte aanvallen zaten er niet tussen. Rosa van Gool kwam in de eindfase nog wel in kansrijke positie, schoot de bal richting de verre hoek en zag dat Weimar de bal fantastisch uit haar doel sloeg.

 Het bleef dus bij 1-1 en de wedstrijd zal worden blijven herinnerd als de wedstrijd waarin er voor het eerst 29.927 toeschouwers bij een wedstrijd in het vrouwenvoetbal waren.

###

"
9;665803;PSV;ADO Den Haag;PSV;ADO;3;1;2023-03-02Z;2022-23 KNVB Beker, Kwartfinales;Halvefinalist PSV heeft geen kind aan B-ploeg ADO;"PSV heeft de halve finale van de TOTO KNVB Beker gehaald, door met 3-1 van ADO Den Haag te winnen. In het Philips Stadion was het krachtsverschil erg groot tussen PSV en de B-ploeg van Dick Advocaat.

 Ruud van Nistelrooij koos in de bekerwedstrijd tegen ADO niet voor een B-opstelling en begon opnieuw met Fabio Silva in de aanval. Xavi Simons, die wat ziekjes was, zat op de bank. ADO speelde daarentegen niet met de sterkste elf. 'De kleine generaal' liet voorafgaand aan de wedstrijd weten de zinnen op de Keuken Kampioen Divisie te zetten, waar ADO eerste staat in de derde periode.

 ADO-muur al snel gevallen
De bezoekers hadden waarschijnlijk het plan zo lang mogelijk op 'de nul' te spelen, maar na een kwartier kon dat idee de prullenbak in. Een volley van Johan Bakayoko werd van richting veranderd, waardoor keeper Sonny Stevens kansloos was: 1-0. Niet veel later konden de fans in Eindhoven opnieuw juichen. Guus Til schoot na iets meer dan 20 minuten beheerst binnen op aangeven van Jarrad Branthwaite.

 Zo werd het een makkelijke avond voor de ploeg van Van Nistelrooij, dat na rust al snel uitliep naar 3-0. Ibrahim Sangaré kreeg de bal op de rand van het zestienmetergebied en schoot kiezelhard in de kruising voor de comfortabele voorsprong, waar de Eindhovenaren niet lang van konden genieten. Nog geen minuut later was het namelijk Malik Sellouki die ook van flinke afstand prachtig de bovenhoek vond.

 Halve finale TOTO KNVB Beker 
De 3-1 was tevens de eindstand in Eindhoven, waardoor PSV gemakkelijk de laatste vier bereikt van de TOTO KNVB Beker. Daarin zijn de drie eventuele tegenstanders bekend. De amateurs van Spakenburg - die voor de grootste stunt in jaren zorgden door FC Utrecht met 1-4 uit te schakelen - en Feyenoord, dat met 0-1 won bij sc Heerenveen kunnen zaterdag geloot worden. Daarnaast won Ajax donderdagavond op De Vijverberg met 0-3 tegen De Graafschap voor een plek in de halve finale.

 De loting van de halve finale van de TOTO KNVB Beker is zaterdagavond om 22:30 uur LIVE te zien op ESPN. 

###

"
10;665802;De Graafschap;Ajax;GRA;AJA;0;3;2023-03-02Z;2022-23 KNVB Beker, Kwartfinales;Ajax laatste halvefinalist TOTO KNVB beker na eenvoudige zege op De Graafschap;"Ajax heeft zich in Doetinchem verzekerd van de halve finales van de TOTO KNVB beker door met 0-3 te winnen van De Graafschap. Door doelpunten van Jorge Sánchez, Steven Bergwijn en Brian Brobbey kenden de Amsterdammers weinig moeite met de Superboeren. Het was vooral een mooie wedstrijd voor Jorrel Hato die op zestienjarige leeftijd zijn basisdebuut voor Ajax mocht maken.

 De eerste helft begon vrij rustig, maar meteen werd de verhouding van de wedstrijd duidelijk. Ajax ging opzoek naar de doelpunten, De Graafschap wilde vooral zo veel mogelijk weerstand bieden. Dat lukte aardig voor de thuisploeg, zeker gezien zij de eerste kans van de wedstrijd creëerden. Een hard schot strandde in de verdediging van de Amsterdammers. Aan de andere kant van het veld bleek die verdediging ook scherp op het moment dat Jorge Sánchez fantastisch raak volleerde voor de openingstreffer.

 Ajax pakte door en leek nog binnen de eerste twintig minuten ook een tweede treffer te maken. Een goed uitgevoerde cornervariant werd afgemeten bij de tweede paal op het hoofd van Davy Klaassen terecht, die Jurriën Timber in staat stelde om binnen te knikken. Timber stond daarbij alleen in buitenspelpositie en dus werd het doelpunt afgekeurd. Maar niet getreurd voor Ajax, want de 0-2 volgde een kleine tien minuten later alsnog via een mooi binnengekruld afstandsschot van Bergwijn. Die kon dat goed gebruiken, gezien hij sinds het vorige seizoen al niet meer had gescoord en uit vorm was.

 De rest van de eerste helft verliep vrij rustig met de nodige slordigheden en zonder echte kansen. Alleen Brobbey kwam tot twee keer toe erg dichtbij, maar zijn eerste kans werd gepareerd door doelman Hidde Jurjus en de tweede werd opnieuw afgekeurd wegens buitenspel. Dat werd een thema in de wedstrijd, want direct na rust probeerde De Graafschap de stand om te draaien en leek terug te komen in de wedstrijd. Camiel Neghli werd alleen bereikt in buitenspelpositie waardoor ook zijn doelpunt niet doorging.

 De thuisploeg bleef jagen op de aansluiting, terwijl Ajax de wedstrijd zonder al te veel inspanning leek te willen uitspelen. Doordat echt grote kansen van De Graafschap uitbleven, leverde dat geen problemen op voor de Amsterdammers. Zij maakten er zelfs nog 0-3 van via Brobbey, die dit keer wel het net wist te vinden na een fout achterin bij de Superboeren en de wedstrijd definitief in het slot wist te gooien.

 Zo bereikte Ajax zonder al te veel moeite de halve finales van de beker, waarin het tijdens de loting zaterdag om half 11 op ESPN 1 gekoppeld kan worden aan SV Spakenburg, PSV of aartsrivaal Feyenoord.

###

"
