,dates,home_vs_away,venue,competition,final_score,goal_events,card_events
0,Op zondag 19 maart,Speelde FC Twente thuis tegen AZ,in De Grolsch Veste,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",FC Twente wint thuis met 2-1 van AZ,"M. Ugalde scoorde voor Twente in de 1e helft in minuut 8, M. Ugalde scoorde voor Twente in de 1e helft in minuut 11, J. Karlsson scoorde voor AZ in de 2e helft in minuut 66","Julio Pleguezuelo van Twente kreeg in de 2e helft in minuut 61 een gele kaart, J. Karlsson van AZ kreeg in de 2e helft in minuut 74 een gele kaart, V. Černý van Twente kreeg in de 2e helft in minuut 93 een gele kaart"
1,Op zondag 19 maart,Speelde Vitesse thuis tegen PSV,in GelreDome,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Vitesse en PSV hebben gelijk gespeeld met 1-1,"X. Simons scoorde voor PSV in de 1e helft in minuut 8, I. Sangaré scoorde voor PSV in de 2e helft in minuut 61",S. Tronstad van Vitesse kreeg in de 1e helft in minuut 43 een gele kaart
2,Op zondag 19 maart,Speelde Ajax thuis tegen Feyenoord,in Johan Cruijff Arena,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Feyenoord wint uit met 2-3 van Ajax,"S. Giménez scoorde voor Feyenoord in de 1e helft in minuut 5, E. Álvarez scoorde voor Ajax in de 1e helft in minuut 17, D. Tadić scoorde voor Ajax in de 1e helft in minuut 37, S. Szymański scoorde voor Feyenoord in de 2e helft in minuut 52, L. Geertruida scoorde voor Feyenoord in de 2e helft in minuut 86","Q. Hartman van Feyenoord kreeg in de 1e helft in minuut 7 een gele kaart, O. Idrissi van Feyenoord kreeg in de 1e helft in minuut 27 een gele kaart, K. Taylor van Ajax kreeg in de 1e helft in minuut 44 een gele kaart, J. Sánchez van Ajax kreeg in de 2e helft in minuut 78 een gele kaart, M. Pedersen van Feyenoord kreeg in de 2e helft in minuut 81 een gele kaart, O. Kökçü van Feyenoord kreeg in de 2e helft in minuut 89 een gele kaart, M. López van Feyenoord kreeg in de 2e helft in minuut 91 een gele kaart"
3,Op zondag 19 maart,Speelde FC Groningen thuis tegen sc Heerenveen,in Euroborg,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",sc Heerenveen wint uit met 0-2 van FC Groningen,"S. van Hooijdonk scoorde voor Heerenveen in de 1e helft in minuut 27, S. van Hooijdonk scoorde voor Heerenveen in de 1e helft in minuut 40",T. Haye van Heerenveen kreeg in de 1e helft in minuut 15 een gele kaart
4,Op zaterdag 18 maart,Speelde RKC Waalwijk thuis tegen N.E.C.,in Mandemakers Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",N.E.C. wint uit met 1-3 van RKC Waalwijk,"O. Tannane scoorde voor NEC in de 1e helft in minuut 18, E. Tavşan scoorde voor NEC in de 1e helft in minuut 26, O. Tannane scoorde voor NEC in de 1e helft in minuut 31, V. Anita scoorde voor RKC Waalwijk in de 2e helft in minuut 61","Y. Oukili van RKC Waalwijk kreeg in de 1e helft in minuut 29 een gele kaart, E. Vaessen van RKC Waalwijk kreeg in de 2e helft in minuut 46 een gele kaart, S. El Karouani van NEC kreeg in de 2e helft in minuut 76 een gele kaart"
5,Op zaterdag 18 maart,Speelde FC Emmen thuis tegen Sparta Rotterdam,in De Oude Meerdijk,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Sparta Rotterdam wint uit met 0-2 van FC Emmen,"K. Saito scoorde voor Sparta Rotterdam in de 1e helft in minuut 44, V. van Crooij scoorde voor Sparta Rotterdam in de 2e helft in minuut 89",Beide partijen hebben geen kaarten gekregen van de scheidsrechter
6,Op zaterdag 18 maart,Speelde FC Utrecht thuis tegen Go Ahead Eagles,in Stadion Galgenwaard,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Go Ahead Eagles wint uit met 1-2 van FC Utrecht,"T. Douvikas scoorde voor Utrecht in de 1e helft in minuut 41, O. Edvardsen scoorde voor Go Ahead Eagles in de 1e helft in minuut 48, W. Willumsson scoorde voor Go Ahead Eagles in de 2e helft in minuut 94","R. Kluivert van Utrecht kreeg in de 1e helft in minuut 20 een gele kaart, J. Toornstra van Utrecht kreeg in de 1e helft in minuut 21 een gele kaart, B. Adekanye van Go Ahead Eagles kreeg in de 1e helft in minuut 33 een gele kaart, J. Amofa van Go Ahead Eagles kreeg in de 2e helft in minuut 86 een gele kaart"
7,Op zondag 12 maart,Speelde Feyenoord thuis tegen FC Volendam,in Stadion Feijenoord,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Feyenoord wint thuis met 2-1 van FC Volendam,"D. van Mieghem scoorde voor Volendam in de 1e helft in minuut 12, S. Giménez scoorde voor Feyenoord in de 2e helft in minuut 52, D. Mirani scoorde voor Volendam in de 2e helft in minuut 74","O. Idrissi van Feyenoord kreeg in de 2e helft in minuut 68 een gele kaart, X. Mbuyamba van Volendam kreeg in de 2e helft in minuut 85 een gele kaart, X. Mbuyamba van Volendam kreeg in de 2e helft in minuut 94 een rode kaart"
8,Op zondag 12 maart,Speelde PSV thuis tegen SC Cambuur Leeuwarden,in Philips Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",PSV wint thuis met 5-2 van SC Cambuur Leeuwarden,"R. Balk scoorde voor Cambuur in de 1e helft in minuut 22, X. Simons scoorde voor PSV in de 1e helft in minuut 25, P. van Aanholt scoorde voor PSV in de 2e helft in minuut 54, A. El Ghazi scoorde voor PSV in de 2e helft in minuut 56, I. Sangaré scoorde voor PSV in de 2e helft in minuut 61, Fábio Silva scoorde voor PSV in de 2e helft in minuut 65, A. El Ghazi scoorde voor PSV in de 2e helft in minuut 88","D. Schmidt van Cambuur kreeg in de 1e helft in minuut 37 een gele kaart, Fábio Silva van PSV kreeg in de 2e helft in minuut 85 een gele kaart"
9,Op zondag 12 maart,Speelde sc Heerenveen thuis tegen Ajax,in Abe Lenstra Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Ajax wint uit met 2-4 van sc Heerenveen,"M. Kudus scoorde voor Ajax in de 1e helft in minuut 10, E. Álvarez scoorde voor Ajax in de 1e helft in minuut 16, S. Bergwijn scoorde voor Ajax in de 1e helft in minuut 19, P. van Amersfoort scoorde voor Heerenveen in de 1e helft in minuut 42, K. Taylor scoorde voor Ajax in de 2e helft in minuut 52, S. van Hooijdonk scoorde voor Heerenveen in de 2e helft in minuut 79","O. Sahraoui van Heerenveen kreeg in de 1e helft in minuut 33 een gele kaart, P. van Amersfoort van Heerenveen kreeg in de 2e helft in minuut 88 een gele kaart, J. Timber van Ajax kreeg in de 2e helft in minuut 89 een gele kaart, S. Berghuis van Ajax kreeg in de 2e helft in minuut 92 een gele kaart"
10,Op zondag 12 maart,Speelde N.E.C. thuis tegen FC Utrecht,in Goffertstadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",N.E.C. en FC Utrecht hebben gelijk gespeeld met 2-2,"L. Dimata scoorde voor NEC in de 1e helft in minuut 31, L. Dimata scoorde voor NEC in de 2e helft in minuut 48, B. Dost scoorde voor Utrecht in de 2e helft in minuut 63, O. Boussaid scoorde voor Utrecht in de 2e helft in minuut 67","Z. Labyad van Utrecht kreeg in de 2e helft in minuut 53 een gele kaart, M. van der Hoorn van Utrecht kreeg in de 2e helft in minuut 59 een gele kaart, B. van Rooij van NEC kreeg in de 2e helft in minuut 80 een gele kaart, M. van der Maarel van Utrecht kreeg in de 2e helft in minuut 80 een gele kaart"
11,Op zaterdag 11 maart,Speelde Sparta Rotterdam thuis tegen Vitesse,in Sparta-Stadion Het Kasteel,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Sparta Rotterdam wint thuis met 3-1 van Vitesse,"D. Oroz scoorde voor Vitesse in de 1e helft in minuut 7, A. Verschueren scoorde voor Sparta Rotterdam in de 1e helft in minuut 11, K. Saito scoorde voor Sparta Rotterdam in de 1e helft in minuut 45, J. Kitolano scoorde voor Sparta Rotterdam in de 2e helft in minuut 87","M. Wittek van Vitesse kreeg in de 1e helft in minuut 18 een gele kaart, M. Wittek van Vitesse kreeg in de 2e helft in minuut 80 een rode kaart"
12,Op zaterdag 11 maart,Speelde AZ thuis tegen FC Groningen,in AFAS Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",AZ wint thuis met 1-0 van FC Groningen,J. Karlsson scoorde voor AZ in de 1e helft in minuut 4,L. van Gelderen van Groningen kreeg in de 2e helft in minuut 57 een gele kaart
13,Op zaterdag 11 maart,Speelde Fortuna Sittard thuis tegen FC Twente,in Fortuna Sittard Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",FC Twente wint uit met 0-3 van Fortuna Sittard,"V. Černý scoorde voor Twente in de 2e helft in minuut 67, M. Ugalde scoorde voor Twente in de 2e helft in minuut 71, M. Ugalde scoorde voor Twente in de 2e helft in minuut 77","A. Ferati van Fortuna Sittard kreeg in de 1e helft in minuut 33 een gele kaart, T. Noslin van Fortuna Sittard kreeg in de 1e helft in minuut 40 een gele kaart, M. Hilgers van Twente kreeg in de 2e helft in minuut 54 een gele kaart, M. van Beijnen van Fortuna Sittard kreeg in de 2e helft in minuut 85 een gele kaart, M. Vlap van Twente kreeg in de 2e helft in minuut 89 een gele kaart"
14,Op zaterdag 11 maart,Speelde FC Emmen thuis tegen Excelsior,in De Oude Meerdijk,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",FC Emmen wint thuis met 2-0 van Excelsior,"O. Romeny scoorde voor Emmen in de 2e helft in minuut 63, O. Romeny scoorde voor Emmen in de 2e helft in minuut 71","L. Lamprou van Excelsior kreeg in de 2e helft in minuut 56 een gele kaart, C. Driouech van Excelsior kreeg in de 2e helft in minuut 63 een gele kaart, R. Živković van Emmen kreeg in de 2e helft in minuut 68 een gele kaart, K. Goudmijn van Excelsior kreeg in de 2e helft in minuut 79 een gele kaart"
15,Op zondag 5 maart,Speelde Ajax thuis tegen N.E.C.,in Johan Cruijff Arena,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Ajax wint thuis met 1-0 van N.E.C.,M. Kudus scoorde voor Ajax in de 2e helft in minuut 52,"M. Kudus van Ajax kreeg in de 1e helft in minuut 13 een gele kaart, B. van Rooij van NEC kreeg in de 1e helft in minuut 46 een gele kaart, A. Baldursson van NEC kreeg in de 2e helft in minuut 72 een gele kaart, O. Tannane van NEC kreeg in de 2e helft in minuut 95 een gele kaart"
16,Op zondag 5 maart,Speelde RKC Waalwijk thuis tegen PSV,in Mandemakers Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",PSV wint uit met 0-1 van RKC Waalwijk,J. Bakayoko scoorde voor PSV in de 1e helft in minuut 35,Beide partijen hebben geen kaarten gekregen van de scheidsrechter
17,Op zondag 5 maart,Speelde Excelsior thuis tegen Sparta Rotterdam,in Van Donge & De Roo Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Sparta Rotterdam wint uit met 1-4 van Excelsior,"R. El Yaakoubi scoorde voor Excelsior in de 1e helft in minuut 20, C. Driouech scoorde voor Excelsior in de 1e helft in minuut 45, K. Saito scoorde voor Sparta Rotterdam in de 2e helft in minuut 49, T. Lauritsen scoorde voor Sparta Rotterdam in de 2e helft in minuut 56, B. Vriends scoorde voor Sparta Rotterdam in de 2e helft in minuut 60",Beide partijen hebben geen kaarten gekregen van de scheidsrechter
18,Op zaterdag 4 maart,Speelde FC Twente thuis tegen sc Heerenveen,in De Grolsch Veste,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",FC Twente en sc Heerenveen hebben gelijk gespeeld met 3-3,"M. Hilgers scoorde voor Twente in de 1e helft in minuut 25, R. Pröpper scoorde voor Twente in de 1e helft in minuut 34, M. Ugalde scoorde voor Twente in de 2e helft in minuut 48, V. Černý scoorde voor Twente in de 2e helft in minuut 55, M. van Ewijk scoorde voor Heerenveen in de 2e helft in minuut 59, R. Kaib scoorde voor Heerenveen in de 2e helft in minuut 90","C. Nunnely van Heerenveen kreeg in de 1e helft in minuut 29 een gele kaart, A. Colassin van Heerenveen kreeg in de 2e helft in minuut 65 een gele kaart, J. van Aken van Heerenveen kreeg in de 2e helft in minuut 91 een gele kaart"
19,Op zaterdag 4 maart,Speelde Feyenoord thuis tegen FC Groningen,in Stadion Feijenoord,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Feyenoord wint thuis met 1-0 van FC Groningen,O. Idrissi scoorde voor Feyenoord in de 2e helft in minuut 88,"M. Pedersen van Feyenoord kreeg in de 1e helft in minuut 10 een gele kaart, I. Määttä van Groningen kreeg in de 1e helft in minuut 47 een gele kaart, I. Määttä van Groningen kreeg in de 2e helft in minuut 52 een gele kaart, D. Dankerlui van Groningen kreeg in de 2e helft in minuut 67 een gele kaart, L. van Gelderen van Groningen kreeg in de 2e helft in minuut 74 een gele kaart"
20,Op zaterdag 4 maart,Speelde FC Volendam thuis tegen FC Emmen,in Kras Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",FC Volendam wint thuis met 3-1 van FC Emmen,"F. Stanković scoorde voor Volendam in de 2e helft in minuut 46, B. Benamar scoorde voor Volendam in de 2e helft in minuut 67, B. Ould-Chikh scoorde voor Volendam in de 2e helft in minuut 88, D. van Mieghem scoorde voor Volendam in de 2e helft in minuut 92",J. Vlak van Emmen kreeg in de 2e helft in minuut 73 een gele kaart
21,Op vrijdag 3 maart,Speelde FC Utrecht thuis tegen Fortuna Sittard,in Stadion Galgenwaard,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Fortuna Sittard wint uit met 1-2 van FC Utrecht,"T. Douvikas scoorde voor Utrecht in de 2e helft in minuut 59, K. Bistrović scoorde voor Fortuna Sittard in de 2e helft in minuut 68, T. Noslin scoorde voor Fortuna Sittard in de 2e helft in minuut 87","K. Bistrović van Fortuna Sittard kreeg in de 2e helft in minuut 77 een gele kaart, J. Toornstra van Utrecht kreeg in de 2e helft in minuut 85 een gele kaart, S. van de Streek van Utrecht kreeg in de 2e helft in minuut 96 een gele kaart"
22,Op zondag 26 februari,Speelde PSV thuis tegen FC Twente,in Philips Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",PSV wint thuis met 3-1 van FC Twente,"Fábio Silva scoorde voor PSV in de 1e helft in minuut 9, V. Misidjan scoorde voor Twente in de 2e helft in minuut 47, L. de Jong scoorde voor PSV in de 2e helft in minuut 57, X. Simons scoorde voor PSV in de 2e helft in minuut 74","R. Zerrouki van Twente kreeg in de 2e helft in minuut 55 een gele kaart, I. Sangaré van PSV kreeg in de 2e helft in minuut 90 een gele kaart"
23,Op zondag 26 februari,Speelde Vitesse thuis tegen Ajax,in GelreDome,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Ajax wint uit met 1-2 van Vitesse,"M. van Ginkel scoorde voor Vitesse in de 1e helft in minuut 30, D. Klaassen scoorde voor Ajax in de 1e helft in minuut 32, E. Álvarez scoorde voor Ajax in de 2e helft in minuut 54","E. Álvarez van Ajax kreeg in de 2e helft in minuut 52 een gele kaart, O. Wijndal van Ajax kreeg in de 2e helft in minuut 75 een gele kaart"
24,Op zondag 26 februari,Speelde Fortuna Sittard thuis tegen Feyenoord,in Fortuna Sittard Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Feyenoord wint uit met 2-4 van Fortuna Sittard,"Ximo Navarro scoorde voor Fortuna Sittard in de 1e helft in minuut 10, M. Wieffer scoorde voor Feyenoord in de 1e helft in minuut 16, S. Giménez scoorde voor Feyenoord in de 1e helft in minuut 43, Deroy Duarte scoorde voor Fortuna Sittard in de 2e helft in minuut 48, Igor Paixão scoorde voor Feyenoord in de 2e helft in minuut 63, D. Siovas scoorde voor Fortuna Sittard in de 2e helft in minuut 84",Beide partijen hebben geen kaarten gekregen van de scheidsrechter
25,Op zaterdag 25 februari,Speelde AZ thuis tegen SC Cambuur Leeuwarden,in AFAS Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",AZ wint thuis met 2-1 van SC Cambuur Leeuwarden,"V. Pavlidis scoorde voor AZ in de 1e helft in minuut 40, W. Goes scoorde voor AZ in de 2e helft in minuut 73, B. Johnsen scoorde voor Cambuur in de 2e helft in minuut 85","S. Mijnans van AZ kreeg in de 1e helft in minuut 21 een gele kaart, M. Hoedemakers van Cambuur kreeg in de 1e helft in minuut 34 een gele kaart, J. Clasie van AZ kreeg in de 2e helft in minuut 67 een gele kaart, P. Hatzidiakos van AZ kreeg in de 2e helft in minuut 83 een gele kaart, M. Hoedemakers van Cambuur kreeg in de 2e helft in minuut 92 een gele kaart"
26,Op vrijdag 24 februari,Speelde Sparta Rotterdam thuis tegen FC Utrecht,in Sparta-Stadion Het Kasteel,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",FC Utrecht wint uit met 0-3 van Sparta Rotterdam,"V. Jensen scoorde voor Utrecht in de 2e helft in minuut 74, O. Boussaid scoorde voor Utrecht in de 2e helft in minuut 88, A. Descotte scoorde voor Utrecht in de 2e helft in minuut 90","L. Brouwers van Utrecht kreeg in de 1e helft in minuut 27 een gele kaart, S. Sambo van Sparta Rotterdam kreeg in de 1e helft in minuut 38 een gele kaart, M. Sagnan van Utrecht kreeg in de 1e helft in minuut 46 een gele kaart, A. Auassar van Sparta Rotterdam kreeg in de 2e helft in minuut 49 een rode kaart, J. de Guzmán van Sparta Rotterdam kreeg in de 2e helft in minuut 71 een gele kaart, Y. Namli van Sparta Rotterdam kreeg in de 2e helft in minuut 93 een gele kaart, B. Ramselaar van Utrecht kreeg in de 2e helft in minuut 96 een gele kaart"
27,Op zondag 19 februari,Speelde Excelsior thuis tegen N.E.C.,in Van Donge & De Roo Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",N.E.C. wint uit met 0-3 van Excelsior,"M. Mattsson scoorde voor NEC in de 1e helft in minuut 44, S. El Karouani scoorde voor NEC in de 2e helft in minuut 73, A. Musaba scoorde voor NEC in de 2e helft in minuut 85","P. Sandler van NEC kreeg in de 1e helft in minuut 29 een gele kaart, R. El Yaakoubi van Excelsior kreeg in de 1e helft in minuut 35 een gele kaart, R. El Yaakoubi van Excelsior kreeg in de 2e helft in minuut 47 een gele kaart, C. Verdonk van NEC kreeg in de 2e helft in minuut 81 een gele kaart, C. Driouech van Excelsior kreeg in de 2e helft in minuut 87 een gele kaart, S. Nieuwpoort van Excelsior kreeg in de 2e helft in minuut 87 een gele kaart"
28,Op zondag 19 februari,Speelde Ajax thuis tegen Sparta Rotterdam,in Johan Cruijff Arena,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Ajax wint thuis met 4-0 van Sparta Rotterdam,"D. Tadić scoorde voor Ajax in de 1e helft in minuut 6, K. Taylor scoorde voor Ajax in de 1e helft in minuut 27, D. Tadić scoorde voor Ajax in de 2e helft in minuut 64, M. Kudus scoorde voor Ajax in de 2e helft in minuut 84",R. Rosario van Sparta Rotterdam kreeg in de 2e helft in minuut 92 een gele kaart
29,Op zondag 19 februari,Speelde FC Utrecht thuis tegen PSV,in Stadion Galgenwaard,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",FC Utrecht en PSV hebben gelijk gespeeld met 2-2,"O. Boussaid scoorde voor Utrecht in de 1e helft in minuut 33, J. Bakayoko scoorde voor PSV in de 1e helft in minuut 41, L. de Jong scoorde voor PSV in de 2e helft in minuut 57, S. van de Streek scoorde voor Utrecht in de 2e helft in minuut 60",J. Branthwaite van PSV kreeg in de 2e helft in minuut 63 een gele kaart
30,Op zondag 19 februari,Speelde Go Ahead Eagles thuis tegen FC Twente,in De Adelaarshorst,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Go Ahead Eagles wint thuis met 2-0 van FC Twente,"P. Rommens scoorde voor Go Ahead Eagles in de 1e helft in minuut 6, I. Lidberg scoorde voor Go Ahead Eagles in de 1e helft in minuut 16",M. Vlap van Twente kreeg in de 2e helft in minuut 75 een gele kaart
31,Op zondag 19 februari,Speelde SC Cambuur Leeuwarden thuis tegen sc Heerenveen,in Cambuur Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",sc Heerenveen wint uit met 1-2 van SC Cambuur Leeuwarden,"B. Johnsen scoorde voor Cambuur in de 1e helft in minuut 1, O. Sahraoui scoorde voor Heerenveen in de 1e helft in minuut 22, M. van Ewijk scoorde voor Heerenveen in de 2e helft in minuut 65","M. Paulissen van Cambuur kreeg in de 1e helft in minuut 36 een gele kaart, S. van der Water van Cambuur kreeg in de 2e helft in minuut 81 een gele kaart, M. Mahi van Cambuur kreeg in de 2e helft in minuut 91 een gele kaart"
