    ,date        ,match                                                  ,prompt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,completion
  0 ,2022-08-05Z ,SC Heerenveen vs Sparta Rotterdam                      ,"Geef de samenvatting een pakkende titel en schrijf een voetbal wedstrijd samenvatting inclusief paragrafen met de volgende informatie:
                                                                          Op vrijdag 5 augustus speelde sc Heerenveen thuis tegen Sparta Rotterdam in Abe Lenstra Stadion.
                                                                          De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie.
                                                                          sc Heerenveen en Sparta Rotterdam hebben gelijk gespeeld met 0-0.
                                                                          Beide partijen wisten niet te scoren.
                                                                          S. van Hooijdonk van Heerenveen kreeg in de 1e helft in minuut 25 een gele kaart, A. Verschueren van Sparta Rotterdam kreeg in de 2e helft in minuut 49 een gele kaart.
                                                                          Sparta Rotterdam had meer balbezit dan sc Heerenveen met 50.5% balbezit.
                                                                          Kees van Wonderen is de trainer van sc Heerenveen. Maurice Steijn is de trainer van Sparta Rotterdam.
                                                                          Andries Noppert is de keeper van sc Heerenveen. Nick Quinten Olij is de keeper van Sparta Rotterdam.
                                                                          
                                                                          ###
                                                                          
                                                                          "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ," sc Heerenveen en Sparta Rotterdam delen punten in doelpuntloos openingsduel
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                De eerste Eredivisie-wedstrijd van het nieuwe seizoen heeft geen winnaar opgeleverd. Een teleurstellend duel tussen sc Heerenveen en Sparta Rotterdam eindigde in een bloedeloos gelijkspel: 0-0.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Heerenveen start met twee aanwinsten, vijf debutanten bij Sparta
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Er verschenen heel wat debutanten op het veld. Bij de thuisclub had nieuwe trainer Kees van Wonderen een plek in de basis ingeruimd voor Andries Noppert (overgekomen van Go Ahead Eagles) en aanvaller Mats Köhlert (vorig seizoen Willem II).
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Bij Sparta debuteerden maar liefst vijf spelers in het Abe Lenstra-stadion, onder wie Jonathan de Guzman. De 14-voudig international van Oranje is een van de vele spelers die Sparta deze zomer aantrok. Trainer Maurice Steijn, die er eind vorig seizoen in slaagde om Sparta in de Eredivisie te houden, liet ook doelman Nick Olij, verdediger Mike Eerdhuijzen en de aanvallers Jason Eyenga Lokilo en Tobias Lauritsen starten vanaf het begin. Heel wat andere nieuwelingen zaten op de bank.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Aftasten
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Van een spectaculaire seizoensstart was geen sprake. Het veldspel was slordig en beide ploegen kwamen niet tot kansen in de eerste helft. Jason Eyenga-Lokilo zorgde in de twaalfde minuut voor de eerste serieuze doelpoging, maar zijn inzet miste kracht. Noppert bracht zonder problemen redding. Vlak voor rust ontving Köhlert in het strafschopgebied een strakke pass van Thom Haye, maar hij stuitte op Olij.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Ook in de tweede helft creëerden beide ploegen weinig kansen. Een schot van Vito van Crooij zeilde een kwartier voor tijd over het doel van Noppert. De slotfase was voor Sparta. Met vijf invallers probeerde Sparta de wedstrijd naar zich toe te trekken. Heerenveen zag Haye uitvallen met een blessure en daardoor kon de van IF Elfsborg overgekomen Simon Olsson debuteren. Van Crooij zorgde met een kopbal voor de laatste doelpoging, maar het bleef bij 0-0.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ###
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                "
  1 ,2022-08-06Z ,Fortuna Sittard vs AFC Ajax                            ,"Geef de samenvatting een pakkende titel en schrijf een voetbal wedstrijd samenvatting inclusief paragrafen met de volgende informatie:
                                                                          Op zaterdag 6 augustus speelde Fortuna Sittard thuis tegen Ajax in Fortuna Sittard Stadion.
                                                                          De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie.
                                                                          Ajax wint uit met 2-3 van Fortuna Sittard.
                                                                          P. Gladon scoorde voor Fortuna Sittard in de 1e helft in minuut 6, K. Taylor scoorde voor Ajax in de 2e helft in minuut 48, D. Rensch scoorde voor Ajax in de 2e helft in minuut 51, B. Brobbey scoorde voor Ajax in de 2e helft in minuut 62, B. Yılmaz scoorde voor Fortuna Sittard in de 2e helft in minuut 87.
                                                                          M. Seuntjens van Fortuna Sittard kreeg in de 1e helft in minuut 27 een gele kaart, A. Ferati van Fortuna Sittard kreeg in de 2e helft in minuut 82 een gele kaart, P. Gladon van Fortuna Sittard kreeg in de 2e helft in minuut 88 een gele kaart.
                                                                          Ajax had meer balbezit dan Fortuna Sittard met 71.5% balbezit.
                                                                          Sjors Ultee is de trainer van Fortuna Sittard. Alfred Schreuder is de trainer van Ajax.
                                                                          Yanick Marinus Paulus van Osch is de keeper van Fortuna Sittard. Remko Jurian Pasveer is de keeper van Ajax.
                                                                          
                                                                          ###
                                                                          
                                                                          "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ," Wissels schieten Ajax in tweede helft naar overwinning bij debuut scorende Yilmaz
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Ajax heeft de eerste competitiewedstrijd van het seizoen gewonnen. Uit bij Fortuna Sittard werd het 2-3. Paul Gladon schoot de thuisploeg verrassend op voorsprong, maar in de tweede helft kwam Ajax langszij door doelpunten van Kenneth Taylor, Devyne Rensch en Brian Brobbey. Burak Yilmaz maakte er met een schitterende vrije trap nog 2-3 van, maar zijn doelpunt viel voor Fortuna net iets te laat. En dus boekt Alfred Schreuder, na de verliespartij tegen PSV, zijn eerste overwinning als Ajax-trainer. Zijn wissels gaven de doorslag in een wedstrijd, waar Ajax het behoorlijk moeilijk had.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Gladon eist hoofdrol eerst helft op
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                De zure nasmaak van de verliespartij in de Johan Cruijff Schaal moest worden weggespoeld in Limburg. Schreuder gaf onder de lat de voorkeur aan Remko Pasveer. Jay Gorter, die er in de wedstrijd er tegen PSV een aantal keren niet goed uitzag moest genoegen nemen met een plek op de bank. Edson Álvarez was geschorst en daarom schoof Daley Blind door naar het middenveld. Zijn plek achterin werd ingenomen door oud-Fortuna speler Perr Schuurs.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Bij Fortuna ging het al weken over Burak Yilmaz. De Turkse vedette zat weliswaar bij de selectie, maar begon op de bank. Hij werd in de basis vervangen door Paul Gladon, die al snel de hoofdrol opeiste in de eerste helft.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Al na zes minuten werd de spits weggestuurd door Arianit Ferati. Gladon ontsnapte aan de aandacht van Schuurs en Jurriën Timber, maakte oog in oog met Pasveer geen fout en zette hij, tegen alle verwachtingen in, Fortuna Sittard op 1-0.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Ajax moest in de achtervolging, maar kwam niet door de hechte defensie van Fortuna. Ondanks de 76%(!) balbezit, kwam het niet verder dan een aantal wilde afstandsschoten van een gefrustreerde Antony.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Wissels Schreuder betalen zich uit, Yilmaz maakt naam waar
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                In de rust greep Schreuder in en bracht hij Brian Brobbey en Davy Klaassen in plaats van Steven Berghuis en Perr Schuurs. Klaassen was in de 48ste minuut in ieder geval betrokken bij de 1-1. Kenneth Taylor draaide een korte hoekschop gevaarlijk richting de tweede paal. Of Klaassen de bal aanraakte is een raadsel, maar feit is dat Ajax snel op 1-1 kwam.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                De andere wissel was slechts drie minuten later belangrijk bij de 1-2. Devyne Rensch, die naar alle waarschijnlijkheid concurrentie gaat krijgen van de Mexicaan Jorge Sanchez, kwam naar binnen combineerde met Brobbey en kon de 1-2 binnenschuiven. In eerste instantie werd het doelpunt afgekeurd, maar na het bestuderen van de beelden werd de goal goedgekeurd.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Brobbey was zelf verantwoordelijk voor de 1-3. De spits, die goed inviel, liep weg bij zijn man, kreeg de bal op een presenteerblaadje van Dušan Tadić en schoot beheerst binnen.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                In de 66ste minuut veerde het stadion van Fortuna op toen Burak Yilmaz binnen de lijnen kwam.De Turk zorgde vlak daarna ook voor een explosie van vreugde toen hij in de 87ste minuut, op magnifieke wijze, een vrije trap tegen de touwen schoot en Fortuna op 2-3 bracht.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Burak Yilmaz maakt met een geweldige vrije trap zijn eerste doelpunt voor Fortuna Sittard.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Steven Bergwijn leek Ajax vlak voor de goal van Yilmaz op 1-4 te brengen, maar hij stond net buitenspel en daarom werd zijn doelpunt afgekeurd. Ondanks een klein slotoffensief van Fortuna Sittard bleef het bij 2-3 en neemt Ajax de drie punten mee naar Amsterdam.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ###
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                "
  2 ,2022-08-06Z ,SC Cambuur Leeuwarden vs SBV Excelsior                 ,"Geef de samenvatting een pakkende titel en schrijf een voetbal wedstrijd samenvatting inclusief paragrafen met de volgende informatie:
                                                                          Op zaterdag 6 augustus speelde SC Cambuur Leeuwarden thuis tegen Excelsior in Cambuur Stadion.
                                                                          De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie.
                                                                          Excelsior wint uit met 0-2 van SC Cambuur Leeuwarden.
                                                                          M. Azarkan scoorde voor Excelsior in de 1e helft in minuut 10, J. Baas scoorde voor Excelsior in de 1e helft in minuut 44.
                                                                          D. Schmidt van Cambuur kreeg in de 2e helft in minuut 48 een gele kaart, C. Driouech van Excelsior kreeg in de 2e helft in minuut 48 een gele kaart, S. Horemans van Excelsior kreeg in de 2e helft in minuut 68 een gele kaart.
                                                                          SC Cambuur Leeuwarden had meer balbezit dan Excelsior met 71.6% balbezit.
                                                                          Henk de Jong is de trainer van SC Cambuur Leeuwarden. Marinus Dijkhuizen is de trainer van Excelsior.
                                                                          João Manuel Neves Virgínia is de keeper van SC Cambuur Leeuwarden. Stijn van Gassel is de keeper van Excelsior.
                                                                          
                                                                          ###
                                                                          
                                                                          "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ," Excelsior countert naar overwinning in Leeuwarden bij Eredivisie-rentree
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Excelsior is het eerste Eredivisieseizoen sinds 2019 uitstekend begonnen. In Leeuwarden werd SC Cambuur met 0-2 verslagen.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Na tien minuten was het Marouan Azarkan die de eerste de beste kans van de wedstrijd verzilverde. Na een vlijmscherpe counter rondde hij een combinatie met Couhaib Driouech koeltjes af. De score werd vlak voor rust verdubbeld toen Julian Baas een afgeslagen bal van dichtbij kon binnentikken.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Nieuwe spelers
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                In tegenstelling tot wat we gewend zijn aan het begin van het seizoen, hadden beide clubs weinig nieuwe gezichten aan de aftrap staan. Bij de thuisclub debuteerde alleen de van Everton gehuurde doelman João Virginia. Excelsior begon het seizoen met een nieuwe spits. Reda Kharchouch kwam over van Sparta en moet de naar Toulouse vertrokken Thijs Dallinga, vorig seizoen topscorer van de Keuken Kampioen Divisie, doen vergeten. Bij Cambuur debuteerden nog wel de invallers Remco Balk (gehuurd van FC Utrecht) en de van FC Aarau overgekomen Leon Bergsma.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Terugkeer Yassine Ayoub
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Bij Excelsior kwam oude bekende Yassin Ayoub het laatste half uur binnen de lijnen. De oud-speler van FC Utrecht en Feyenoord kwam deze zomer transfervrij over van het Griekse Panathinaikos maar was nog niet fit genoeg om 90 minuten te spelen. Ook de van Jong PSV overgenomen Nathan Markelo viel in bij de Rotterdammers.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                In de tweede helft regende het kansen voor Cambuur. Onder anderen Mees Hoedemakers en aanvoerder Roberts Uldrikis slaagden er niet in doelman Stijn van Gassel te passeren.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ###
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                "
