;id;name;startDate;endDate
0;4l28exe3waio69jy64mjdxs7o;2021;2021-09-24Z;2021-10-16Z
1;e8hzqbi72543ryyghslghobqi;2020;2020-09-24Z;2020-10-16Z
2;2g6i2p41v9rz893ct7p9jg7sa;2019;2019-08-20Z;2019-09-20Z
3;6cp74s0vw1qkx2ua9kie2v7my;2018;2018-10-07Z;2018-10-25Z
4;5nam60xs3poa2onuqwbdnse09;2017;2017-09-07Z;2017-10-27Z
5;bcv63kirnvqh75te5ltqfzvft;2016;2016-08-25Z;2016-09-30Z
6;cymioxyqua6ltsjy93qge221h;2015;2015-08-27Z;2015-10-02Z
7;5pyqa181noyaj6yummryl580l;2014;2014-08-28Z;2014-10-03Z
8;58zm0gcrhk7afjgkir2bqf86z;2013;2013-08-22Z;2013-10-11Z
9;9v52v8aya4djwvht15hwiawgl;2012;2012-09-18Z;2012-10-19Z
