;id;name;startDate;endDate
0;4l28exe3waio69jy64mjdxs7o;2021;2021-09-24Z;2021-10-16Z
1;e8hzqbi72543ryyghslghobqi;2020;2020-09-24Z;2020-10-16Z
2;2g6i2p41v9rz893ct7p9jg7sa;2019;2019-08-20Z;2019-09-20Z
3;6cp74s0vw1qkx2ua9kie2v7my;2018;2018-10-07Z;2018-10-25Z
4;5nam60xs3poa2onuqwbdnse09;2017;2017-09-07Z;2017-10-27Z
5;bcv63kirnvqh75te5ltqfzvft;2016;2016-08-25Z;2016-09-30Z
6;cymioxyqua6ltsjy93qge221h;2015;2015-08-27Z;2015-10-02Z
7;5pyqa181noyaj6yummryl580l;2014;2014-08-28Z;2014-10-03Z
8;58zm0gcrhk7afjgkir2bqf86z;2013;2013-08-22Z;2013-10-11Z
9;9v52v8aya4djwvht15hwiawgl;2012;2012-09-18Z;2012-10-19Z
10;3vcpljrsyrrc01qvequcz0zdg;2023 Cote d’Ivoire;2022-03-21Z;2023-09-04Z
11;1u0rkpe0v4j9fxlaz5aqwdxey;2021;2019-10-09Z;2021-06-15Z
12;9cynbwf2ojdhccu4cy0fe6pk9;2019 Cameroon;2017-03-22Z;2019-03-24Z
13;7b4ip5nrtaqoso5rbsyc4zwt1;2017 Gabon;2015-06-12Z;2016-09-04Z
14;2wesgze9r199vdt7lwavpm4wt;2015 Equatorial Guinea;2014-04-12Z;2014-11-19Z
15;7nfm1s7yslgcudxrv0kb7trrp;2013 South Africa;2012-01-08Z;2012-10-14Z
16;19xoucl70m6met5ftphoe3dg5;2012 Equatorial Guinea/Gabon;2010-07-01Z;2011-10-09Z
17;7n9i7iec94g2xzrfi924exxat;2008 Ghana;2006-09-02Z;2007-10-13Z
18;3abrn3703ib4ldgscvoo9hjis;2025;2024-06-11Z;2025-01-18Z
19;a0zod4i50ddr9rey43so0urdg;2023 Algeria;2022-06-11Z;2023-01-18Z
20;cmuv0kn5ki7it0zuyq6yirt3o;2021 Morocco;2020-11-22Z;2021-02-13Z
21;dtswgdaol0217tatnfg2zdo2c;2019 Tanzania;2018-07-19Z;2018-09-18Z
22;8hieyznv1cbz0f7rf9s1dz21g;2017 Gabon;2016-06-24Z;2016-10-02Z
23;g43hnv44rgz3yseyqo4hizo4;2015 Niger;2014-06-14Z;2014-09-28Z
24;iswu1gx8oky9fx1347qnv7dg;2013 Morocco;2012-09-07Z;2012-12-02Z
25;99cywzn6zkoobqjt3mzw49xjo;2011 Rwanda;2010-04-09Z;2010-11-26Z
26;30lzsd6ovbob7hnffnvomyxw4;2025;2025-02-19Z;2025-03-11Z
27;7mktnz0t5fqda3i8cg07de7f8;2023 Egypt;2023-02-19Z;2023-03-11Z
28;88hqh9mcdlmms9a3hx9r36fe2;2021 Mauritania;2021-02-14Z;2021-03-06Z
29;9gjt4yx4held55mapj4v2wyy;2019 Niger;2018-03-30Z;2019-02-17Z
30;6vrjwgpl28zpcmku98aj3fgmh;2017 Zambia;2016-04-01Z;2017-03-12Z
31;d4o2qfd4lkweo9pro705uhyvr;2015 Senegal;2014-04-04Z;2015-03-22Z
32;4j31z8p2joahxxvbic2nc942d;2013 Algeria;2012-04-20Z;2013-03-30Z
33;czr4v1840yu961p49mqrskvkl;2011 South Africa;2010-04-17Z;2011-05-01Z
34;algg6lmwgkm2vepejje1v00lw;2025;2024-05-07Z;2024-12-14Z
35;1r0hnwztkek3noimsiknra9lg;2023 Egypt;2022-05-07Z;2022-12-14Z
36;8tyi8uzbg66k3mu3npbvw9mhg;2021 Mauritania;2020-11-20Z;2020-12-27Z
37;14f8ipii1ry0u804hqqyl3qj8;2019 Niger;2018-03-30Z;2018-08-20Z
38;1cpc9g465nzcyuu8fvay2u044;2017 Zambia;2016-04-01Z;2016-07-24Z
39;eh2ivko9r9xhz1z5g6kb586xg;2015 Senegal;2014-04-04Z;2014-08-31Z
40;7058wg0iwhzy83locachl4t90;2013 Algeria;2012-04-20Z;2012-10-07Z
41;1fq2o50t51d1zrcqu4xi505w;2011 South Africa;2010-04-17Z;2010-10-24Z
42;c99papa2bj2z2vzvq1q6h3bis;2023 Morocco;2022-09-21Z;2023-03-28Z
43;brpl2114dwt83b0sejbvibggk;2019 Egypt;2018-11-14Z;2019-09-10Z
44;drbf0mvbss1a8ztdpyd559zpw;2015 Senegal;2015-04-24Z;2015-08-02Z
45;8fmv4kpg0kwrmugtkg0oyl3bo;2024;2023-10-18Z;2024-02-23Z
46;2lb071mpd5a6oqp2zl2eaxwr8;2022 Morocco;2021-10-18Z;2022-02-23Z
47;7i8jnp5sm8rt22hu1mzthaz9w;2020;2020-04-06Z;2020-04-14Z
48;25gk3cjzgjfkxkhg05vmo8zkk;2018 Ghana;2018-04-04Z;2018-06-11Z
49;6vs4iu65990grlvhlarmopudw;2016 Cameroon;2016-03-04Z;2016-04-12Z
50;ezqg6yh5yfwts6g2kcflngqok;2014 Namibia;2014-02-05Z;2014-06-08Z
51;2s35cgoynssygl54mc17o06qc;2012 Equatorial Guinea;2012-01-15Z;2012-06-16Z
52;e2a4xk38d5cr002j25pswurdg;2010 South Africa;2010-03-05Z;2010-06-06Z
53;6o215aoa2f2emj464gikme1p0;2008 Equatorial Guinea;2007-11-30Z;2008-03-08Z
54;e0o0u8r8cbyepncw102m4pc7o;2006 Nigeria;2006-02-19Z;2006-08-06Z
55;auq9dk0x061so7ergqx8jv3f8;2024;2024-07-22Z;2024-09-04Z
56;3raofnm3onej58ikf18aisidw;2022 Algeria;2022-07-22Z;2022-09-04Z
57;c36gp759gcnu490t8zmm7y1g;2020 Cameroon;2019-04-20Z;2019-10-20Z
58;a85pwnpkhi7dp6flem9g0sqok;2018 Morocco;2017-04-22Z;2017-11-12Z
59;7g5q0gyyjtt7vnnigxepz7w9g;2016 Rwanda;2015-06-15Z;2015-10-31Z
60;dhj7r6c4exrphlhmvj8v0dkpg;2014 South Africa;2012-11-30Z;2013-08-31Z
61;5kf0cg73m9dn531cq7xn81ogk;2011 Sudan;2010-01-08Z;2010-06-06Z
62;b3dpcmaeplp4mpv4en94uz5sk;2009 Côte d'Ivoire;2008-03-29Z;2008-12-14Z
63;7dirazovshj5t44jwo1qcpppm;2023;2023-08-16Z;2023-08-30Z
64;da7mrgkx4s5jhupdp68u9f6qx;2019 Rabat;2019-08-16Z;2019-08-30Z
65;36xtjsvhydxhp7am1e2mqqfv9;2015 Brazzaville;2015-02-21Z;2015-09-18Z
66;3nnzqk7t581p63yo69og1pnmd;2011 Maputo;2011-01-07Z;2011-09-17Z
67;d8grid5nhzleybw2n5cpccxsk;2023 Côte d'Ivoire;2024-01-09Z;2024-02-06Z
68;3ny27xml9skko03pycmbrv52i;2021 Cameroon;2022-01-09Z;2022-02-06Z
69;2ip4f1aefabczfkw80hj7uz8p;2019 Egypt;2019-06-21Z;2019-07-19Z
70;myycohvvibz2uugf7m915uy1;2017 Gabon;2017-01-14Z;2017-02-05Z
71;72ffk1yqe771z7hn5kp5tqj85;2015 Equatorial Guinea;2015-01-17Z;2015-02-08Z
72;enzgl8gvt6j9h7xivf8uf2c63;2013 South Africa;2013-01-19Z;2013-02-10Z
73;csywcm1os1kpjbwx3ko092fo5;2012 Equatorial Guinea/Gabon;2012-01-21Z;2012-02-12Z
74;3k34993llkdmhfmczy1yibk5x;2010 Angola;2010-01-10Z;2010-01-31Z
75;ecsq0gi1ajexqos0n4mf7x0ph;2008 Ghana;2008-01-20Z;2008-02-10Z
76;f0xoe9skn15z8lf7l93y2ems5;2006 Egypt;2006-01-20Z;2006-02-10Z
77;f10fm7tvop84vdrbpwji6ofyt;2004 Tunisia;2004-01-24Z;2004-02-14Z
78;f12n8crwogbvuwlloxu6n3get;2002 Mali;2002-01-19Z;2002-02-10Z
79;f5ejrfqqaioe9x3cczoda491x;2000 Ghana/Nigeria;2000-01-22Z;2000-02-13Z
80;f5glmtapczc31bd3x6e2l1g45;1998 Burkina Faso;1998-02-07Z;1998-02-28Z
81;2nvuy281x5gwlm8f74glp6gic;2024;2025-01-13Z;2025-02-04Z
82;1c532v58xysvfl9508e9vkk5w;2022 Algeria;2023-01-13Z;2023-02-04Z
83;c2qle12dlh470mj57qzm4k1uy;2020 Cameroon;2019-04-20Z;2021-02-07Z
84;e52817k0u3m7x24fyjfi49rs9;2018 Morocco;2017-04-22Z;2018-02-04Z
85;hkjqlrxq2zzqwkdd12g9aor9;2016 Rwanda;2015-06-15Z;2016-02-07Z
86;39i5nga9yuugna6rm0fqyihux;2014 South Africa;2012-11-30Z;2014-02-01Z
87;7sv2e45dc4q34uf188krzeimt;2011 Sudan;2010-01-08Z;2011-02-25Z
88;7fg40dqyej6aee4bua6q5jyz9;2009 Côte d'Ivoire;2008-03-29Z;2009-03-08Z
89;45jhyv5w6zotxe3cjx0e20f10;2022/2023;2022-09-09Z;2023-06-11Z
