,id,date,homeContestantId,awayContestantId,homeContestantOfficialName,awayContestantOfficialName,homeContestantCode,awayContestantCode
0,3xp5uvef2i0z40glz9qq7f85w,2022-08-05Z,4vd2t5schmvvufrfib7f2vjdf,89w5c6pw7vn0dxypi61tt0g4k,SC Heerenveen,Sparta Rotterdam,HEE,SPA
1,3xtddwq4558vjrh84uh6vxj4k,2022-08-06Z,3ebril33e08ddzob4bhq8awsr,d0zdg647gvgc95xdtk1vpbkys,Fortuna Sittard,AFC Ajax,FOR,AJA
2,3xvysgmver498fdhvugbuhd04,2022-08-06Z,ears40cp6opsgvhsy0dgyszpd,dqk062lu0vm8epvytbm6r4mmf,SC Cambuur Leeuwarden,SBV Excelsior,CAM,EXC
3,3xyl0qt0lpr25p5onwmdqqal0,2022-08-06Z,24fvcruwqrqvqa3aonf8c3zuy,3t0vjqtxc8wpjzv82i3oi2ova,PSV Eindhoven,FC Emmen,PSV,EMM
4,3y15kr81sa8wpz5j6fhvi3wno,2022-08-06Z,ed5nwjz5za3oyi20nxzgqivmx,ccpscwdcm65czscrun048ecn5,RKC Waalwijk,FC Utrecht,RKC,UTR
5,3y3qaapqdnd30f78x51lue8t0,2022-08-07Z,cos9hxi16eitbcbthof7zrm4m,6g9qrm72224jrk6tkxxxi8a9n,FC Groningen,FC Volendam,GRO,VOL
6,3y6drcw2sftzu0k89oilsvq50,2022-08-07Z,6hsriqr3ybvyg94w2k19oal50,20vymiy7bo8wkyxai3ew494fz,SBV Vitesse,Feyenoord Rotterdam,VIT,FEY
7,3y8wuyp2w4ehm5ohlwe61sowk,2022-08-07Z,8iawijq7s9s6d85mjz8wdslki,4tic29sox7m39fy1ztgv0jsiq,Nijmegen Eendracht Combinatie,FC Twente,N.E.C.,TWE
8,3ybnesj6sorgz9qu7d7tq1mhg,2022-08-07Z,3kfktv64h7kg7zryax1wktr5r,b79uipsy57y1jqpy07h4i5ovk,Alkmaar Zaanstreek,Go Ahead Eagles,AZ,GAE
9,32s6daf0x5cxgbzvc686xjwus,2022-08-12Z,dqk062lu0vm8epvytbm6r4mmf,6hsriqr3ybvyg94w2k19oal50,SBV Excelsior,SBV Vitesse,EXC,VIT
