;id;date;homeContestantId;awayContestantId;homeContestantOfficialName;awayContestantOfficialName;homeContestantCode;awayContestantCode;card_events;venue;goal_events
0;3xp5uvef2i0z40glz9qq7f85w;2022-08-05Z;4vd2t5schmvvufrfib7f2vjdf;89w5c6pw7vn0dxypi61tt0g4k;SC Heerenveen;Sparta Rotterdam;HEE;SPA;[['Heerenveen', '4vd2t5schmvvufrfib7f2vjdf', 1, 25, 'dc4n5ylytswddlvd82snkb90q', 'S. van Hooijdonk', 'YC'], ['Sparta Rotterdam', '89w5c6pw7vn0dxypi61tt0g4k', 2, 49, '723av2redj2ej6livx0g81wwl', 'A. Verschueren', 'YC']];Abe Lenstra Stadion;[]
1;3xtddwq4558vjrh84uh6vxj4k;2022-08-06Z;3ebril33e08ddzob4bhq8awsr;d0zdg647gvgc95xdtk1vpbkys;Fortuna Sittard;AFC Ajax;FOR;AJA;[['Fortuna Sittard', '3ebril33e08ddzob4bhq8awsr', 1, 27, 'atbvv2os8m7nfs0p128w5a6l1', 'M. Seuntjens', 'YC'], ['Fortuna Sittard', '3ebril33e08ddzob4bhq8awsr', 2, 82, '9trasqdd75zjxz4kzplb64xjp', 'A. Ferati', 'YC'], ['Fortuna Sittard', '3ebril33e08ddzob4bhq8awsr', 2, 88, '3jkzywsfc2vjq3h1kqdhhl2hh', 'P. Gladon', 'YC']];Fortuna Sittard Stadion;[['Fortuna Sittard', '3ebril33e08ddzob4bhq8awsr', 1, 6, '3jkzywsfc2vjq3h1kqdhhl2hh', 'P. Gladon'], ['Ajax', 'd0zdg647gvgc95xdtk1vpbkys', 2, 48, '35qg0rrwtl00pycx468s62m3u', 'K. Taylor'], ['Ajax', 'd0zdg647gvgc95xdtk1vpbkys', 2, 51, '6sg2ot7z9kfyrlgjkmpqvejqi', 'D. Rensch'], ['Ajax', 'd0zdg647gvgc95xdtk1vpbkys', 2, 62, '9c2i7ddl2uh7kuhwq62klkyui', 'B. Brobbey'], ['Fortuna Sittard', '3ebril33e08ddzob4bhq8awsr', 2, 87, '8rqula41yqtbwycgemsw9ixud', 'B. Yılmaz']]
2;3xvysgmver498fdhvugbuhd04;2022-08-06Z;ears40cp6opsgvhsy0dgyszpd;dqk062lu0vm8epvytbm6r4mmf;SC Cambuur Leeuwarden;SBV Excelsior;CAM;EXC;[['Cambuur', 'ears40cp6opsgvhsy0dgyszpd', 2, 48, 'tv8e6nxc7jl8wbzf6ojd6dw5', 'D. Schmidt', 'YC'], ['Excelsior', 'dqk062lu0vm8epvytbm6r4mmf', 2, 48, '6jhavdnaitqn6ydme8a526aui', 'C. Driouech', 'YC'], ['Excelsior', 'dqk062lu0vm8epvytbm6r4mmf', 2, 68, '3r6elcuru7no13hrfczmwbmy1', 'S. Horemans', 'YC']];Cambuur Stadion;[['Excelsior', 'dqk062lu0vm8epvytbm6r4mmf', 1, 10, '36q7nfs7t68aeg3z54rnr31pm', 'M. Azarkan'], ['Excelsior', 'dqk062lu0vm8epvytbm6r4mmf', 1, 44, 'f07qmqesi1rpw7eapoz9rb0gk', 'J. Baas']]
3;3xyl0qt0lpr25p5onwmdqqal0;2022-08-06Z;24fvcruwqrqvqa3aonf8c3zuy;3t0vjqtxc8wpjzv82i3oi2ova;PSV Eindhoven;FC Emmen;PSV;EMM;[['Emmen', '3t0vjqtxc8wpjzv82i3oi2ova', 1, 25, '6ciggfx8p0zkak8qxe1p7yzth', 'K. Veendorp', 'YC']];Philips Stadion;[['PSV', '24fvcruwqrqvqa3aonf8c3zuy', 1, 18, 'bx6j2y1hnu63lawn3rdoep1m2', 'J. Bakayoko'], ['Emmen', '3t0vjqtxc8wpjzv82i3oi2ova', 1, 26, '7ytoj5m2j4u50e7pjhz0lr1ed', 'M. Kieftenbeld'], ['PSV', '24fvcruwqrqvqa3aonf8c3zuy', 1, 38, '9psfk94nduz6icnuwty5v9all', 'C. Gakpo'], ['PSV', '24fvcruwqrqvqa3aonf8c3zuy', 2, 54, '9psfk94nduz6icnuwty5v9all', 'C. Gakpo'], ['Emmen', '3t0vjqtxc8wpjzv82i3oi2ova', 2, 62, '55e0z1vhb48go6y2io7h80aqy', 'O. Romeny']]
4;3y15kr81sa8wpz5j6fhvi3wno;2022-08-06Z;ed5nwjz5za3oyi20nxzgqivmx;ccpscwdcm65czscrun048ecn5;RKC Waalwijk;FC Utrecht;RKC;UTR;[['RKC Waalwijk', 'ed5nwjz5za3oyi20nxzgqivmx', 2, 79, 'b23be312oxcbusvpjnnriukq2', 'Y. Oukili', 'YC']];Mandemakers Stadion;[['RKC Waalwijk', 'ed5nwjz5za3oyi20nxzgqivmx', 1, 15, 'arahlffwma11d06oqmglwjemt', 'D. Van den Buijs'], ['RKC Waalwijk', 'ed5nwjz5za3oyi20nxzgqivmx', 1, 45, '93cf9npj6wl6vrxw7hetf6ok5', 'I. Bel Hassani'], ['Utrecht', 'ccpscwdcm65czscrun048ecn5', 2, 52, '395y7yj6o1xwr6uaxs4sjnjdh', 'B. Dost'], ['Utrecht', 'ccpscwdcm65czscrun048ecn5', 2, 85, '395y7yj6o1xwr6uaxs4sjnjdh', 'B. Dost']]
5;3y3qaapqdnd30f78x51lue8t0;2022-08-07Z;cos9hxi16eitbcbthof7zrm4m;6g9qrm72224jrk6tkxxxi8a9n;FC Groningen;FC Volendam;GRO;VOL;[['Volendam', '6g9qrm72224jrk6tkxxxi8a9n', 2, 83, 'dbkr1w2xlwnyssid1tv0jlujt', 'B. Benamar', 'YC']];Euroborg;[['Groningen', 'cos9hxi16eitbcbthof7zrm4m', 1, 2, 'a9z0jsjwfteq974bxwucvc4ix', 'C. Ngonge'], ['Groningen', 'cos9hxi16eitbcbthof7zrm4m', 1, 34, '2ge9oa66xgsefhhpvuboua76x', 'J. Strand Larsen'], ['Volendam', '6g9qrm72224jrk6tkxxxi8a9n', 1, 38, '1sb4655mgzrdohlltyk9fqlzp', 'D. van Mieghem'], ['Volendam', '6g9qrm72224jrk6tkxxxi8a9n', 2, 68, 'dbkr1w2xlwnyssid1tv0jlujt', 'B. Benamar']]
6;3y6drcw2sftzu0k89oilsvq50;2022-08-07Z;6hsriqr3ybvyg94w2k19oal50;20vymiy7bo8wkyxai3ew494fz;SBV Vitesse;Feyenoord Rotterdam;VIT;FEY;[['Vitesse', '6hsriqr3ybvyg94w2k19oal50', 1, 36, '4ecptuxoyx485mmhrubuscgyd', 'S. Tronstad', 'YC'], ['Vitesse', '6hsriqr3ybvyg94w2k19oal50', 1, 40, 'e65zqndnze1xzef4qlkhd1v4l', 'Ferro', 'YC'], ['Feyenoord', '20vymiy7bo8wkyxai3ew494fz', 1, 47, '504o2odlvra056ouwcgreopgp', 'S. Szymański', 'YC']];GelreDome;[['Vitesse', '6hsriqr3ybvyg94w2k19oal50', 1, 19, 'czh4r9efdbw4fvdux0enl127e', 'M. Manhoef'], ['Feyenoord', '20vymiy7bo8wkyxai3ew494fz', 1, 31, '1957std7hji9ca7bd29y8at7u', 'P. Wålemark'], ['Feyenoord', '20vymiy7bo8wkyxai3ew494fz', 1, 41, '4j5hfebi948ggjwexpndrub1m', 'Danilo'], ['Vitesse', '6hsriqr3ybvyg94w2k19oal50', 2, 56, 'cty7nsrs5yn785m330c2gbwq2', 'N. Frederiksen'], ['Feyenoord', '20vymiy7bo8wkyxai3ew494fz', 2, 61, 'dy8wa8cciiae72q2ynm80rlcl', 'J. Dilrosun'], ['Feyenoord', '20vymiy7bo8wkyxai3ew494fz', 2, 66, '4j5hfebi948ggjwexpndrub1m', 'Danilo'], ['Feyenoord', '20vymiy7bo8wkyxai3ew494fz', 2, 69, '4yyekuopwb7otz18rqfgwjht5', 'L. Geertruida']]
7;3y8wuyp2w4ehm5ohlwe61sowk;2022-08-07Z;8iawijq7s9s6d85mjz8wdslki;4tic29sox7m39fy1ztgv0jsiq;Nijmegen Eendracht Combinatie;FC Twente;N.E.C.;TWE;[['Twente', '4tic29sox7m39fy1ztgv0jsiq', 2, 50, '9qoc020keotb4s72a09zm5pzp', 'M. Sadílek', 'YC'], ['NEC', '8iawijq7s9s6d85mjz8wdslki', 2, 53, '5qvy65ckiigykkowpyco05zv9', 'M. Duelund', 'YC']];Goffertstadion;[['Twente', '4tic29sox7m39fy1ztgv0jsiq', 2, 91, 'ahwtdhrerarmljk9bh0tcpk6i', 'S. Steijn']]
8;3ybnesj6sorgz9qu7d7tq1mhg;2022-08-07Z;3kfktv64h7kg7zryax1wktr5r;b79uipsy57y1jqpy07h4i5ovk;Alkmaar Zaanstreek;Go Ahead Eagles;AZ;GAE;[['Go Ahead Eagles', 'b79uipsy57y1jqpy07h4i5ovk', 2, 72, '7lpwkpwfw656re3pymntslv55', 'B. Adekanye', 'YC'], ['AZ', '3kfktv64h7kg7zryax1wktr5r', 2, 80, '8ymqihdfqc7esda7y407lebx1', 'D. de Wit', 'YC']];AFAS Stadion;[['AZ', '3kfktv64h7kg7zryax1wktr5r', 2, 70, '7sd87ylfbtgwgpb70hf68cel1', 'V. Pavlidis'], ['AZ', '3kfktv64h7kg7zryax1wktr5r', 2, 86, '1hmy5uxiyr8g915tngl9l8twq', 'M. van Brederode']]
9;32s6daf0x5cxgbzvc686xjwus;2022-08-12Z;dqk062lu0vm8epvytbm6r4mmf;6hsriqr3ybvyg94w2k19oal50;SBV Excelsior;SBV Vitesse;EXC;VIT;[['Vitesse', '6hsriqr3ybvyg94w2k19oal50', 2, 97, '4ecptuxoyx485mmhrubuscgyd', 'S. Tronstad', 'RC']];Van Donge & De Roo Stadion;[['Excelsior', 'dqk062lu0vm8epvytbm6r4mmf', 1, 14, '5zwa237gtyf2mlrmo7tlkqnoq', 'R. Kharchouch'], ['Excelsior', 'dqk062lu0vm8epvytbm6r4mmf', 1, 20, '5zwa237gtyf2mlrmo7tlkqnoq', 'R. Kharchouch'], ['Vitesse', '6hsriqr3ybvyg94w2k19oal50', 1, 29, 'cty7nsrs5yn785m330c2gbwq2', 'N. Frederiksen'], ['Excelsior', 'dqk062lu0vm8epvytbm6r4mmf', 2, 76, 'a46irqckxabod18j2c0qfixre', 'K. Goudmijn']]
