;id;date;homeContestantId;awayContestantId;homeContestantOfficialName;awayContestantOfficialName;homeContestantCode;awayContestantCode;card_events;venue;goal_events
0;3xp5uvef2i0z40glz9qq7f85w;2022-08-05Z;4vd2t5schmvvufrfib7f2vjdf;89w5c6pw7vn0dxypi61tt0g4k;SC Heerenveen;Sparta Rotterdam;HEE;SPA;[];Abe Lenstra Stadion;[]
1;3xtddwq4558vjrh84uh6vxj4k;2022-08-06Z;3ebril33e08ddzob4bhq8awsr;d0zdg647gvgc95xdtk1vpbkys;Fortuna Sittard;AFC Ajax;FOR;AJA;[['Fortuna Sittard', '3ebril33e08ddzob4bhq8awsr', 1, 27, 'M. Seuntjens', 'YC'], ['Fortuna Sittard', '3ebril33e08ddzob4bhq8awsr', 2, 82, 'A. Ferati', 'YC'], ['Fortuna Sittard', '3ebril33e08ddzob4bhq8awsr', 2, 88, 'P. Gladon', 'YC']];Fortuna Sittard Stadion;[]
2;3xvysgmver498fdhvugbuhd04;2022-08-06Z;ears40cp6opsgvhsy0dgyszpd;dqk062lu0vm8epvytbm6r4mmf;SC Cambuur Leeuwarden;SBV Excelsior;CAM;EXC;[['Cambuur', 'ears40cp6opsgvhsy0dgyszpd', 2, 48, 'D. Schmidt', 'YC'], ['Excelsior', 'dqk062lu0vm8epvytbm6r4mmf', 2, 48, 'C. Driouech', 'YC'], ['Excelsior', 'dqk062lu0vm8epvytbm6r4mmf', 2, 68, 'S. Horemans', 'YC']];Cambuur Stadion;[]
3;3xyl0qt0lpr25p5onwmdqqal0;2022-08-06Z;24fvcruwqrqvqa3aonf8c3zuy;3t0vjqtxc8wpjzv82i3oi2ova;PSV Eindhoven;FC Emmen;PSV;EMM;[['Emmen', '3t0vjqtxc8wpjzv82i3oi2ova', 1, 25, 'K. Veendorp', 'YC']];Philips Stadion;[['PSV', '24fvcruwqrqvqa3aonf8c3zuy', 1, 18, 'J. Bakayoko'], ['Emmen', '3t0vjqtxc8wpjzv82i3oi2ova', 1, 26, 'M. Kieftenbeld'], ['PSV', '24fvcruwqrqvqa3aonf8c3zuy', 1, 38, 'C. Gakpo'], ['PSV', '24fvcruwqrqvqa3aonf8c3zuy', 2, 54, 'C. Gakpo'], ['Emmen', '3t0vjqtxc8wpjzv82i3oi2ova', 2, 62, 'O. Romeny']]
4;3y15kr81sa8wpz5j6fhvi3wno;2022-08-06Z;ed5nwjz5za3oyi20nxzgqivmx;ccpscwdcm65czscrun048ecn5;RKC Waalwijk;FC Utrecht;RKC;UTR;[['RKC Waalwijk', 'ed5nwjz5za3oyi20nxzgqivmx', 2, 79, 'Y. Oukili', 'YC']];Mandemakers Stadion;[['RKC Waalwijk', 'ed5nwjz5za3oyi20nxzgqivmx', 1, 15, 'D. Van den Buijs'], ['RKC Waalwijk', 'ed5nwjz5za3oyi20nxzgqivmx', 1, 45, 'I. Bel Hassani'], ['Utrecht', 'ccpscwdcm65czscrun048ecn5', 2, 52, 'B. Dost'], ['Utrecht', 'ccpscwdcm65czscrun048ecn5', 2, 85, 'B. Dost']]
5;3y3qaapqdnd30f78x51lue8t0;2022-08-07Z;cos9hxi16eitbcbthof7zrm4m;6g9qrm72224jrk6tkxxxi8a9n;FC Groningen;FC Volendam;GRO;VOL;[['Volendam', '6g9qrm72224jrk6tkxxxi8a9n', 2, 83, 'B. Benamar', 'YC']];Euroborg;[['Groningen', 'cos9hxi16eitbcbthof7zrm4m', 1, 2, 'C. Ngonge'], ['Groningen', 'cos9hxi16eitbcbthof7zrm4m', 1, 34, 'J. Strand Larsen'], ['Volendam', '6g9qrm72224jrk6tkxxxi8a9n', 1, 38, 'D. van Mieghem'], ['Volendam', '6g9qrm72224jrk6tkxxxi8a9n', 2, 68, 'B. Benamar']]
6;3y6drcw2sftzu0k89oilsvq50;2022-08-07Z;6hsriqr3ybvyg94w2k19oal50;20vymiy7bo8wkyxai3ew494fz;SBV Vitesse;Feyenoord Rotterdam;VIT;FEY;[['Vitesse', '6hsriqr3ybvyg94w2k19oal50', 1, 36, 'S. Tronstad', 'YC'], ['Vitesse', '6hsriqr3ybvyg94w2k19oal50', 1, 40, 'Ferro', 'YC'], ['Feyenoord', '20vymiy7bo8wkyxai3ew494fz', 1, 47, 'S. Szymański', 'YC']];GelreDome;[['Vitesse', '6hsriqr3ybvyg94w2k19oal50', 1, 19, 'M. Manhoef'], ['Feyenoord', '20vymiy7bo8wkyxai3ew494fz', 1, 31, 'P. Wålemark'], ['Feyenoord', '20vymiy7bo8wkyxai3ew494fz', 1, 41, 'Danilo'], ['Vitesse', '6hsriqr3ybvyg94w2k19oal50', 2, 56, 'N. Frederiksen'], ['Feyenoord', '20vymiy7bo8wkyxai3ew494fz', 2, 61, 'J. Dilrosun'], ['Feyenoord', '20vymiy7bo8wkyxai3ew494fz', 2, 66, 'Danilo'], ['Feyenoord', '20vymiy7bo8wkyxai3ew494fz', 2, 69, 'L. Geertruida']]
7;3y8wuyp2w4ehm5ohlwe61sowk;2022-08-07Z;8iawijq7s9s6d85mjz8wdslki;4tic29sox7m39fy1ztgv0jsiq;Nijmegen Eendracht Combinatie;FC Twente;N.E.C.;TWE;[['Twente', '4tic29sox7m39fy1ztgv0jsiq', 2, 50, 'M. Sadílek', 'YC'], ['NEC', '8iawijq7s9s6d85mjz8wdslki', 2, 53, 'M. Duelund', 'YC']];Goffertstadion;[['Twente', '4tic29sox7m39fy1ztgv0jsiq', 2, 91, 'S. Steijn']]
8;3ybnesj6sorgz9qu7d7tq1mhg;2022-08-07Z;3kfktv64h7kg7zryax1wktr5r;b79uipsy57y1jqpy07h4i5ovk;Alkmaar Zaanstreek;Go Ahead Eagles;AZ;GAE;[['Go Ahead Eagles', 'b79uipsy57y1jqpy07h4i5ovk', 2, 72, 'B. Adekanye', 'YC'], ['AZ', '3kfktv64h7kg7zryax1wktr5r', 2, 80, 'D. de Wit', 'YC']];AFAS Stadion;[['AZ', '3kfktv64h7kg7zryax1wktr5r', 2, 70, 'V. Pavlidis'], ['AZ', '3kfktv64h7kg7zryax1wktr5r', 2, 86, 'M. van Brederode']]
9;32s6daf0x5cxgbzvc686xjwus;2022-08-12Z;dqk062lu0vm8epvytbm6r4mmf;6hsriqr3ybvyg94w2k19oal50;SBV Excelsior;SBV Vitesse;EXC;VIT;[['Vitesse', '6hsriqr3ybvyg94w2k19oal50', 2, 97, 'S. Tronstad', 'RC']];Van Donge & De Roo Stadion;[['Excelsior', 'dqk062lu0vm8epvytbm6r4mmf', 1, 14, 'R. Kharchouch'], ['Excelsior', 'dqk062lu0vm8epvytbm6r4mmf', 1, 20, 'R. Kharchouch'], ['Vitesse', '6hsriqr3ybvyg94w2k19oal50', 1, 29, 'N. Frederiksen'], ['Excelsior', 'dqk062lu0vm8epvytbm6r4mmf', 2, 76, 'K. Goudmijn']]
