;id;date;homeContestantId;awayContestantId;homeContestantOfficialName;awayContestantOfficialName;homeContestantCode;awayContestantCode;card_events;venue;goal_events
0;3xp5uvef2i0z40glz9qq7f85w;2022-08-05Z;4vd2t5schmvvufrfib7f2vjdf;89w5c6pw7vn0dxypi61tt0g4k;SC Heerenveen;Sparta Rotterdam;HEE;SPA;[{'contestantName': 'Heerenveen', 'contestantId': '4vd2t5schmvvufrfib7f2vjdf', 'periodId': 1, 'timeMin': 25, 'playerId': 'dc4n5ylytswddlvd82snkb90q', 'playerName': 'S. van Hooijdonk', 'cardType': 'YC'}, {'contestantName': 'Sparta Rotterdam', 'contestantId': '89w5c6pw7vn0dxypi61tt0g4k', 'periodId': 2, 'timeMin': 49, 'playerId': '723av2redj2ej6livx0g81wwl', 'playerName': 'A. Verschueren', 'cardType': 'YC'}];Abe Lenstra Stadion;[]
1;3xtddwq4558vjrh84uh6vxj4k;2022-08-06Z;3ebril33e08ddzob4bhq8awsr;d0zdg647gvgc95xdtk1vpbkys;Fortuna Sittard;AFC Ajax;FOR;AJA;[{'contestantName': 'Fortuna Sittard', 'contestantId': '3ebril33e08ddzob4bhq8awsr', 'periodId': 1, 'timeMin': 27, 'playerId': 'atbvv2os8m7nfs0p128w5a6l1', 'playerName': 'M. Seuntjens', 'cardType': 'YC'}, {'contestantName': 'Fortuna Sittard', 'contestantId': '3ebril33e08ddzob4bhq8awsr', 'periodId': 2, 'timeMin': 82, 'playerId': '9trasqdd75zjxz4kzplb64xjp', 'playerName': 'A. Ferati', 'cardType': 'YC'}, {'contestantName': 'Fortuna Sittard', 'contestantId': '3ebril33e08ddzob4bhq8awsr', 'periodId': 2, 'timeMin': 88, 'playerId': '3jkzywsfc2vjq3h1kqdhhl2hh', 'playerName': 'P. Gladon', 'cardType': 'YC'}];Fortuna Sittard Stadion;[{'contestantName': 'Fortuna Sittard', 'contestantId': '3ebril33e08ddzob4bhq8awsr', 'periodId': 1, 'timeMin': 6, 'scorerId': '3jkzywsfc2vjq3h1kqdhhl2hh', 'scorerName': 'P. Gladon'}, {'contestantName': 'Ajax', 'contestantId': 'd0zdg647gvgc95xdtk1vpbkys', 'periodId': 2, 'timeMin': 48, 'scorerId': '35qg0rrwtl00pycx468s62m3u', 'scorerName': 'K. Taylor'}, {'contestantName': 'Ajax', 'contestantId': 'd0zdg647gvgc95xdtk1vpbkys', 'periodId': 2, 'timeMin': 51, 'scorerId': '6sg2ot7z9kfyrlgjkmpqvejqi', 'scorerName': 'D. Rensch'}, {'contestantName': 'Ajax', 'contestantId': 'd0zdg647gvgc95xdtk1vpbkys', 'periodId': 2, 'timeMin': 62, 'scorerId': '9c2i7ddl2uh7kuhwq62klkyui', 'scorerName': 'B. Brobbey'}, {'contestantName': 'Fortuna Sittard', 'contestantId': '3ebril33e08ddzob4bhq8awsr', 'periodId': 2, 'timeMin': 87, 'scorerId': '8rqula41yqtbwycgemsw9ixud', 'scorerName': 'B. Yılmaz'}]
2;3xvysgmver498fdhvugbuhd04;2022-08-06Z;ears40cp6opsgvhsy0dgyszpd;dqk062lu0vm8epvytbm6r4mmf;SC Cambuur Leeuwarden;SBV Excelsior;CAM;EXC;[{'contestantName': 'Cambuur', 'contestantId': 'ears40cp6opsgvhsy0dgyszpd', 'periodId': 2, 'timeMin': 48, 'playerId': 'tv8e6nxc7jl8wbzf6ojd6dw5', 'playerName': 'D. Schmidt', 'cardType': 'YC'}, {'contestantName': 'Excelsior', 'contestantId': 'dqk062lu0vm8epvytbm6r4mmf', 'periodId': 2, 'timeMin': 48, 'playerId': '6jhavdnaitqn6ydme8a526aui', 'playerName': 'C. Driouech', 'cardType': 'YC'}, {'contestantName': 'Excelsior', 'contestantId': 'dqk062lu0vm8epvytbm6r4mmf', 'periodId': 2, 'timeMin': 68, 'playerId': '3r6elcuru7no13hrfczmwbmy1', 'playerName': 'S. Horemans', 'cardType': 'YC'}];Cambuur Stadion;[{'contestantName': 'Excelsior', 'contestantId': 'dqk062lu0vm8epvytbm6r4mmf', 'periodId': 1, 'timeMin': 10, 'scorerId': '36q7nfs7t68aeg3z54rnr31pm', 'scorerName': 'M. Azarkan'}, {'contestantName': 'Excelsior', 'contestantId': 'dqk062lu0vm8epvytbm6r4mmf', 'periodId': 1, 'timeMin': 44, 'scorerId': 'f07qmqesi1rpw7eapoz9rb0gk', 'scorerName': 'J. Baas'}]
3;3xyl0qt0lpr25p5onwmdqqal0;2022-08-06Z;24fvcruwqrqvqa3aonf8c3zuy;3t0vjqtxc8wpjzv82i3oi2ova;PSV Eindhoven;FC Emmen;PSV;EMM;[{'contestantName': 'Emmen', 'contestantId': '3t0vjqtxc8wpjzv82i3oi2ova', 'periodId': 1, 'timeMin': 25, 'playerId': '6ciggfx8p0zkak8qxe1p7yzth', 'playerName': 'K. Veendorp', 'cardType': 'YC'}];Philips Stadion;[{'contestantName': 'PSV', 'contestantId': '24fvcruwqrqvqa3aonf8c3zuy', 'periodId': 1, 'timeMin': 18, 'scorerId': 'bx6j2y1hnu63lawn3rdoep1m2', 'scorerName': 'J. Bakayoko'}, {'contestantName': 'Emmen', 'contestantId': '3t0vjqtxc8wpjzv82i3oi2ova', 'periodId': 1, 'timeMin': 26, 'scorerId': '7ytoj5m2j4u50e7pjhz0lr1ed', 'scorerName': 'M. Kieftenbeld'}, {'contestantName': 'PSV', 'contestantId': '24fvcruwqrqvqa3aonf8c3zuy', 'periodId': 1, 'timeMin': 38, 'scorerId': '9psfk94nduz6icnuwty5v9all', 'scorerName': 'C. Gakpo'}, {'contestantName': 'PSV', 'contestantId': '24fvcruwqrqvqa3aonf8c3zuy', 'periodId': 2, 'timeMin': 54, 'scorerId': '9psfk94nduz6icnuwty5v9all', 'scorerName': 'C. Gakpo'}, {'contestantName': 'Emmen', 'contestantId': '3t0vjqtxc8wpjzv82i3oi2ova', 'periodId': 2, 'timeMin': 62, 'scorerId': '55e0z1vhb48go6y2io7h80aqy', 'scorerName': 'O. Romeny'}]
4;3y15kr81sa8wpz5j6fhvi3wno;2022-08-06Z;ed5nwjz5za3oyi20nxzgqivmx;ccpscwdcm65czscrun048ecn5;RKC Waalwijk;FC Utrecht;RKC;UTR;[{'contestantName': 'RKC Waalwijk', 'contestantId': 'ed5nwjz5za3oyi20nxzgqivmx', 'periodId': 2, 'timeMin': 79, 'playerId': 'b23be312oxcbusvpjnnriukq2', 'playerName': 'Y. Oukili', 'cardType': 'YC'}];Mandemakers Stadion;[{'contestantName': 'RKC Waalwijk', 'contestantId': 'ed5nwjz5za3oyi20nxzgqivmx', 'periodId': 1, 'timeMin': 15, 'scorerId': 'arahlffwma11d06oqmglwjemt', 'scorerName': 'D. Van den Buijs'}, {'contestantName': 'RKC Waalwijk', 'contestantId': 'ed5nwjz5za3oyi20nxzgqivmx', 'periodId': 1, 'timeMin': 45, 'scorerId': '93cf9npj6wl6vrxw7hetf6ok5', 'scorerName': 'I. Bel Hassani'}, {'contestantName': 'Utrecht', 'contestantId': 'ccpscwdcm65czscrun048ecn5', 'periodId': 2, 'timeMin': 52, 'scorerId': '395y7yj6o1xwr6uaxs4sjnjdh', 'scorerName': 'B. Dost'}, {'contestantName': 'Utrecht', 'contestantId': 'ccpscwdcm65czscrun048ecn5', 'periodId': 2, 'timeMin': 85, 'scorerId': '395y7yj6o1xwr6uaxs4sjnjdh', 'scorerName': 'B. Dost'}]
5;3y3qaapqdnd30f78x51lue8t0;2022-08-07Z;cos9hxi16eitbcbthof7zrm4m;6g9qrm72224jrk6tkxxxi8a9n;FC Groningen;FC Volendam;GRO;VOL;[{'contestantName': 'Volendam', 'contestantId': '6g9qrm72224jrk6tkxxxi8a9n', 'periodId': 2, 'timeMin': 83, 'playerId': 'dbkr1w2xlwnyssid1tv0jlujt', 'playerName': 'B. Benamar', 'cardType': 'YC'}];Euroborg;[{'contestantName': 'Groningen', 'contestantId': 'cos9hxi16eitbcbthof7zrm4m', 'periodId': 1, 'timeMin': 2, 'scorerId': 'a9z0jsjwfteq974bxwucvc4ix', 'scorerName': 'C. Ngonge'}, {'contestantName': 'Groningen', 'contestantId': 'cos9hxi16eitbcbthof7zrm4m', 'periodId': 1, 'timeMin': 34, 'scorerId': '2ge9oa66xgsefhhpvuboua76x', 'scorerName': 'J. Strand Larsen'}, {'contestantName': 'Volendam', 'contestantId': '6g9qrm72224jrk6tkxxxi8a9n', 'periodId': 1, 'timeMin': 38, 'scorerId': '1sb4655mgzrdohlltyk9fqlzp', 'scorerName': 'D. van Mieghem'}, {'contestantName': 'Volendam', 'contestantId': '6g9qrm72224jrk6tkxxxi8a9n', 'periodId': 2, 'timeMin': 68, 'scorerId': 'dbkr1w2xlwnyssid1tv0jlujt', 'scorerName': 'B. Benamar'}]
6;3y6drcw2sftzu0k89oilsvq50;2022-08-07Z;6hsriqr3ybvyg94w2k19oal50;20vymiy7bo8wkyxai3ew494fz;SBV Vitesse;Feyenoord Rotterdam;VIT;FEY;[{'contestantName': 'Vitesse', 'contestantId': '6hsriqr3ybvyg94w2k19oal50', 'periodId': 1, 'timeMin': 36, 'playerId': '4ecptuxoyx485mmhrubuscgyd', 'playerName': 'S. Tronstad', 'cardType': 'YC'}, {'contestantName': 'Vitesse', 'contestantId': '6hsriqr3ybvyg94w2k19oal50', 'periodId': 1, 'timeMin': 40, 'playerId': 'e65zqndnze1xzef4qlkhd1v4l', 'playerName': 'Ferro', 'cardType': 'YC'}, {'contestantName': 'Feyenoord', 'contestantId': '20vymiy7bo8wkyxai3ew494fz', 'periodId': 1, 'timeMin': 47, 'playerId': '504o2odlvra056ouwcgreopgp', 'playerName': 'S. Szymański', 'cardType': 'YC'}];GelreDome;[{'contestantName': 'Vitesse', 'contestantId': '6hsriqr3ybvyg94w2k19oal50', 'periodId': 1, 'timeMin': 19, 'scorerId': 'czh4r9efdbw4fvdux0enl127e', 'scorerName': 'M. Manhoef'}, {'contestantName': 'Feyenoord', 'contestantId': '20vymiy7bo8wkyxai3ew494fz', 'periodId': 1, 'timeMin': 31, 'scorerId': '1957std7hji9ca7bd29y8at7u', 'scorerName': 'P. Wålemark'}, {'contestantName': 'Feyenoord', 'contestantId': '20vymiy7bo8wkyxai3ew494fz', 'periodId': 1, 'timeMin': 41, 'scorerId': '4j5hfebi948ggjwexpndrub1m', 'scorerName': 'Danilo'}, {'contestantName': 'Vitesse', 'contestantId': '6hsriqr3ybvyg94w2k19oal50', 'periodId': 2, 'timeMin': 56, 'scorerId': 'cty7nsrs5yn785m330c2gbwq2', 'scorerName': 'N. Frederiksen'}, {'contestantName': 'Feyenoord', 'contestantId': '20vymiy7bo8wkyxai3ew494fz', 'periodId': 2, 'timeMin': 61, 'scorerId': 'dy8wa8cciiae72q2ynm80rlcl', 'scorerName': 'J. Dilrosun'}, {'contestantName': 'Feyenoord', 'contestantId': '20vymiy7bo8wkyxai3ew494fz', 'periodId': 2, 'timeMin': 66, 'scorerId': '4j5hfebi948ggjwexpndrub1m', 'scorerName': 'Danilo'}, {'contestantName': 'Feyenoord', 'contestantId': '20vymiy7bo8wkyxai3ew494fz', 'periodId': 2, 'timeMin': 69, 'scorerId': '4yyekuopwb7otz18rqfgwjht5', 'scorerName': 'L. Geertruida'}]
7;3y8wuyp2w4ehm5ohlwe61sowk;2022-08-07Z;8iawijq7s9s6d85mjz8wdslki;4tic29sox7m39fy1ztgv0jsiq;Nijmegen Eendracht Combinatie;FC Twente;N.E.C.;TWE;[{'contestantName': 'Twente', 'contestantId': '4tic29sox7m39fy1ztgv0jsiq', 'periodId': 2, 'timeMin': 50, 'playerId': '9qoc020keotb4s72a09zm5pzp', 'playerName': 'M. Sadílek', 'cardType': 'YC'}, {'contestantName': 'NEC', 'contestantId': '8iawijq7s9s6d85mjz8wdslki', 'periodId': 2, 'timeMin': 53, 'playerId': '5qvy65ckiigykkowpyco05zv9', 'playerName': 'M. Duelund', 'cardType': 'YC'}];Goffertstadion;[{'contestantName': 'Twente', 'contestantId': '4tic29sox7m39fy1ztgv0jsiq', 'periodId': 2, 'timeMin': 91, 'scorerId': 'ahwtdhrerarmljk9bh0tcpk6i', 'scorerName': 'S. Steijn'}]
8;3ybnesj6sorgz9qu7d7tq1mhg;2022-08-07Z;3kfktv64h7kg7zryax1wktr5r;b79uipsy57y1jqpy07h4i5ovk;Alkmaar Zaanstreek;Go Ahead Eagles;AZ;GAE;[{'contestantName': 'Go Ahead Eagles', 'contestantId': 'b79uipsy57y1jqpy07h4i5ovk', 'periodId': 2, 'timeMin': 72, 'playerId': '7lpwkpwfw656re3pymntslv55', 'playerName': 'B. Adekanye', 'cardType': 'YC'}, {'contestantName': 'AZ', 'contestantId': '3kfktv64h7kg7zryax1wktr5r', 'periodId': 2, 'timeMin': 80, 'playerId': '8ymqihdfqc7esda7y407lebx1', 'playerName': 'D. de Wit', 'cardType': 'YC'}];AFAS Stadion;[{'contestantName': 'AZ', 'contestantId': '3kfktv64h7kg7zryax1wktr5r', 'periodId': 2, 'timeMin': 70, 'scorerId': '7sd87ylfbtgwgpb70hf68cel1', 'scorerName': 'V. Pavlidis'}, {'contestantName': 'AZ', 'contestantId': '3kfktv64h7kg7zryax1wktr5r', 'periodId': 2, 'timeMin': 86, 'scorerId': '1hmy5uxiyr8g915tngl9l8twq', 'scorerName': 'M. van Brederode'}]
9;32s6daf0x5cxgbzvc686xjwus;2022-08-12Z;dqk062lu0vm8epvytbm6r4mmf;6hsriqr3ybvyg94w2k19oal50;SBV Excelsior;SBV Vitesse;EXC;VIT;[{'contestantName': 'Vitesse', 'contestantId': '6hsriqr3ybvyg94w2k19oal50', 'periodId': 2, 'timeMin': 97, 'playerId': '4ecptuxoyx485mmhrubuscgyd', 'playerName': 'S. Tronstad', 'cardType': 'RC'}];Van Donge & De Roo Stadion;[{'contestantName': 'Excelsior', 'contestantId': 'dqk062lu0vm8epvytbm6r4mmf', 'periodId': 1, 'timeMin': 14, 'scorerId': '5zwa237gtyf2mlrmo7tlkqnoq', 'scorerName': 'R. Kharchouch'}, {'contestantName': 'Excelsior', 'contestantId': 'dqk062lu0vm8epvytbm6r4mmf', 'periodId': 1, 'timeMin': 20, 'scorerId': '5zwa237gtyf2mlrmo7tlkqnoq', 'scorerName': 'R. Kharchouch'}, {'contestantName': 'Vitesse', 'contestantId': '6hsriqr3ybvyg94w2k19oal50', 'periodId': 1, 'timeMin': 29, 'scorerId': 'cty7nsrs5yn785m330c2gbwq2', 'scorerName': 'N. Frederiksen'}, {'contestantName': 'Excelsior', 'contestantId': 'dqk062lu0vm8epvytbm6r4mmf', 'periodId': 2, 'timeMin': 76, 'scorerId': 'a46irqckxabod18j2c0qfixre', 'scorerName': 'K. Goudmijn'}]
